year_month,product_family,product_group,region_id,market_demand_index,market_growth_pct,competitor_pressure_index,seasonality_index,macro_business_index,supply_pressure_index,pipeline_interest_index,demand_shock_flag,market_opportunity_score,regional_market_growth_factor
2021-02,Accessories,Accessory Kit,4,108.48,4.75,42.67,100.0,103.46,41.24,89.69,0,85.45,1.01
2021-02,Industrial Tech,Industrial Scanner,2,98.19,-5.6,47.54,100.0,103.46,40.24,89.69,0,80.41,1.02
2021-02,Industrial Tech,Industrial Scanner,3,104.32,7.71,44.79,100.0,103.46,41.37,269.06,0,85.67,1.09
2021-02,IT Devices,Laptop Pro,3,108.18,4.84,38.08,100.0,103.46,42.27,89.69,0,86.18,1.09
2021-02,Legacy Products,Legacy Workstation,3,101.43,4.9,53.23,100.0,103.46,41.75,224.22,0,82.6,1.09
2021-02,Legacy Products,Legacy Workstation,4,99.09,-1.79,51.72,100.0,103.46,39.8,44.84,0,69.6,1.01
2021-02,Legacy Products,Legacy Workstation,7,95.66,-3.89,51.39,100.0,103.46,41.9,44.84,0,67.98,1.04
2021-02,Medical Devices,Medical Sensor,1,100.7,5.37,52.83,100.0,103.46,41.5,269.06,0,82.43,1.06
2021-02,Medical Devices,Medical Sensor,9,105.5,2.85,65.02,100.0,103.46,41.44,44.84,0,68.99,1.12
2021-02,Medical Devices,Monitoring Device,5,110.32,16.37,57.07,100.0,103.46,42.08,134.53,0,85.26,0.97
2021-02,Medical Devices,Monitoring Device,9,104.87,6.27,37.18,100.0,103.46,40.13,44.84,0,75.06,1.12
2021-03,Accessories,Accessory Kit,8,99.96,1.42,53.22,100.0,101.86,41.23,36.36,0,67.46,1.07
2021-03,Components,Connectivity Module,8,100.51,-6.72,57.33,100.0,101.86,48.17,72.73,0,74.09,1.07
2021-03,Components,Connectivity Module,10,101.88,-8.99,60.58,100.0,101.86,40.12,181.82,0,81.4,0.95
2021-03,Industrial Tech,Industrial Scanner,3,102.3,-1.94,50.65,100.0,101.86,42.5,109.09,0,83.4,1.09
2021-03,Industrial Tech,Industrial Scanner,7,102.89,-8.45,60.31,100.0,101.86,40.47,0.0,0,58.82,1.04
2021-03,IT Devices,Laptop Pro,2,99.6,-9.31,57.77,100.0,101.86,40.46,145.45,0,81.06,1.02
2021-03,IT Devices,Laptop Standard,4,103.92,-3.64,57.22,100.0,101.86,41.62,72.73,0,76.46,1.01
2021-03,IT Devices,Laptop Standard,5,96.93,-5.15,66.93,100.0,101.86,41.26,72.73,0,71.59,0.97
2021-03,Legacy Products,Legacy Workstation,1,94.21,-7.2,61.53,100.0,101.86,40.88,300.0,0,78.02,1.06
2021-03,Legacy Products,Legacy Workstation,4,96.48,-2.63,54.17,100.0,101.86,41.36,181.82,0,80.47,1.01
2021-03,Medical Devices,Monitoring Device,3,106.16,4.17,42.16,100.0,101.86,41.79,36.36,0,72.28,1.09
2021-03,Medical Devices,Monitoring Device,7,102.01,0.5,36.29,100.0,101.86,42.6,72.73,0,80.16,1.04
2021-03,Medical Devices,Monitoring Device,10,102.21,1.21,55.48,100.0,101.86,38.79,36.36,0,68.22,0.95
2021-03,Services,Service Contract,4,98.86,-3.25,65.36,100.0,101.86,40.33,109.09,0,79.12,1.01
2021-03,IT Devices,Tablet Enterprise,5,107.66,6.7,59.1,100.0,101.86,39.88,72.73,0,77.81,0.97
2021-04,Accessories,Accessory Kit,2,106.49,4.22,68.83,100.0,102.81,39.98,80.97,0,77.08,1.02
2021-04,Accessories,Accessory Kit,6,104.27,0.42,68.14,100.0,102.81,40.87,202.43,0,80.59,1.14
2021-04,Components,Connectivity Module,4,102.75,2.25,56.17,100.0,102.81,40.53,40.49,0,68.98,1.01
2021-04,Industrial Tech,Industrial Scanner,3,105.1,2.74,51.08,100.0,102.81,41.84,40.49,0,70.84,1.09
2021-04,Industrial Tech,Industrial Scanner,4,102.03,3.94,58.59,100.0,102.81,41.17,121.46,0,81.75,1.01
2021-04,Industrial Tech,Industrial Scanner,8,99.61,0.44,40.64,100.0,102.81,41.13,121.46,0,84.73,1.07
2021-04,Industrial Tech,Industrial Scanner,10,120.23,18.15,45.48,100.0,102.81,40.66,0.0,0,68.99,0.95
2021-04,IT Devices,Laptop Pro,1,109.6,8.57,53.59,100.0,102.81,40.55,80.97,0,81.59,1.06
2021-04,IT Devices,Laptop Pro,7,101.3,-4.08,75.57,100.0,102.81,40.84,0.0,0,54.77,1.04
2021-04,IT Devices,Laptop Pro,8,104.13,-2.07,45.63,100.0,102.81,40.19,40.49,0,71.9,1.07
2021-04,Legacy Products,Legacy Workstation,2,99.47,-3.02,58.58,100.0,102.81,42.12,121.46,0,80.58,1.02
2021-04,Medical Devices,Monitoring Device,4,106.36,5.38,54.8,100.0,102.81,41.86,80.97,0,79.83,1.01
2021-04,Medical Devices,Monitoring Device,6,102.65,-1.07,49.33,100.0,102.81,39.87,80.97,0,79.85,1.14
2021-04,Services,Service Contract,2,115.76,10.81,67.88,100.0,102.81,41.66,202.43,0,85.12,1.02
2021-04,Services,Service Contract,4,105.46,6.68,64.74,100.0,102.81,41.46,121.46,0,81.72,1.01
2021-04,Services,Service Contract,7,89.44,-6.33,53.27,100.0,102.81,52.66,80.97,0,71.78,1.04
2021-04,Services,Service Contract,9,113.44,13.0,42.34,100.0,102.81,42.21,40.49,0,76.04,1.12
2021-04,IT Devices,Tablet Enterprise,8,105.33,1.26,60.81,100.0,102.81,40.0,121.46,0,82.75,1.07
2021-05,Accessories,Accessory Kit,3,103.21,1.38,78.75,100.0,102.07,41.76,188.68,0,77.7,1.09
2021-05,Accessories,Accessory Kit,10,101.05,-7.86,49.12,100.0,102.07,41.43,0.0,0,60.4,0.95
2021-05,Components,Connectivity Module,1,108.5,14.02,55.24,100.0,102.07,40.67,113.21,0,85.15,1.06
2021-05,Components,Connectivity Module,7,105.56,2.17,47.44,100.0,102.07,40.48,75.47,0,80.07,1.04
2021-05,Components,Connectivity Module,8,103.93,-0.72,60.56,100.0,102.07,41.07,150.94,0,82.09,1.07
2021-05,Components,Connectivity Module,10,87.26,-16.71,66.29,100.0,102.07,40.79,0.0,1,51.2,0.95
2021-05,Industrial Tech,Industrial Scanner,1,103.93,-8.98,62.16,100.0,102.07,41.32,113.21,0,81.7,1.06
2021-05,Industrial Tech,Industrial Scanner,7,118.06,16.2,65.39,100.0,102.07,39.98,113.21,0,86.84,1.04
2021-05,Industrial Tech,Industrial Scanner,9,104.7,-3.13,65.4,100.0,102.07,40.33,0.0,0,58.44,1.12
2021-05,IT Devices,Laptop Pro,2,98.11,-18.03,61.1,100.0,102.07,40.12,37.74,0,65.47,1.02
2021-05,IT Devices,Laptop Pro,10,97.62,-20.19,51.72,100.0,102.07,42.01,113.21,0,81.37,0.95
2021-05,IT Devices,Laptop Standard,4,105.5,-7.63,54.62,100.0,102.07,40.78,150.94,0,84.07,1.01
2021-05,IT Devices,Laptop Standard,6,100.88,3.98,54.19,100.0,102.07,42.19,150.94,0,82.1,1.14
2021-05,IT Devices,Laptop Standard,7,106.5,-1.43,61.87,100.0,102.07,41.84,0.0,0,59.71,1.04
2021-05,Legacy Products,Legacy Workstation,4,85.64,-17.13,52.44,100.0,102.07,40.51,150.94,0,76.64,1.01
2021-05,Legacy Products,Legacy Workstation,9,101.88,-1.69,55.96,100.0,102.07,41.87,75.47,0,76.52,1.12
2021-05,Medical Devices,Medical Sensor,2,99.65,2.31,66.32,100.0,102.07,41.56,113.21,0,79.03,1.02
2021-05,Medical Devices,Medical Sensor,4,82.79,-18.79,52.44,100.0,102.07,40.97,150.94,1,75.43,1.01
2021-05,Medical Devices,Monitoring Device,2,109.6,0.25,48.13,100.0,102.07,41.8,75.47,0,81.34,1.02
2021-05,Medical Devices,Monitoring Device,7,103.34,-10.84,45.55,100.0,102.07,42.81,113.21,0,84.89,1.04
2021-05,Services,Service Contract,7,112.77,26.08,50.87,100.0,102.07,40.07,37.74,0,73.59,1.04
2021-05,Services,Service Contract,8,118.54,19.76,61.66,100.0,102.07,41.9,37.74,0,73.25,1.07
2021-05,IT Devices,Tablet Enterprise,1,111.25,2.49,49.18,100.0,102.07,40.69,264.15,0,87.58,1.06
2021-05,IT Devices,Tablet Enterprise,4,96.12,-0.73,68.19,100.0,102.07,42.75,0.0,0,54.03,1.01
2021-06,Accessories,Accessory Kit,2,96.55,-6.67,69.28,100.0,102.97,40.72,85.11,0,73.85,1.02
2021-06,Accessories,Accessory Kit,4,104.77,6.24,42.84,100.0,102.97,42.74,85.11,0,82.65,1.01
2021-06,Accessories,Accessory Kit,5,93.76,2.9,59.54,100.0,102.97,41.19,42.55,0,65.02,0.97
2021-06,Accessories,Accessory Kit,8,109.77,3.37,62.35,100.0,102.97,42.1,42.55,0,70.66,1.07
2021-06,Industrial Tech,Industrial Scanner,6,100.17,-11.11,59.89,100.0,102.97,41.41,170.21,0,80.68,1.14
2021-06,Industrial Tech,Industrial Scanner,10,97.73,-0.61,50.55,100.0,102.97,41.96,85.11,0,78.25,0.95
2021-06,IT Devices,Laptop Pro,8,118.26,20.43,50.39,100.0,102.97,40.72,127.66,0,90.11,1.07
2021-06,IT Devices,Laptop Standard,1,106.37,12.74,48.21,100.0,102.97,40.46,85.11,0,82.45,1.06
2021-06,IT Devices,Laptop Standard,2,112.23,6.95,54.78,100.0,102.97,40.17,127.66,0,86.82,1.02
2021-06,IT Devices,Laptop Standard,4,107.91,2.28,54.43,100.0,102.97,41.01,127.66,0,85.04,1.01
2021-06,IT Devices,Laptop Standard,9,118.21,10.19,35.8,100.0,102.97,50.3,42.55,0,78.65,1.12
2021-06,IT Devices,Laptop Standard,10,98.5,-11.91,44.58,100.0,102.97,42.75,0.0,0,60.18,0.95
2021-06,Legacy Products,Legacy Workstation,2,87.31,-2.69,59.94,100.0,102.97,41.48,212.77,0,75.52,1.02
2021-06,Legacy Products,Legacy Workstation,4,93.37,9.03,51.86,100.0,102.97,41.29,85.11,0,76.32,1.01
2021-06,Medical Devices,Medical Sensor,6,106.09,0.35,48.7,100.0,102.97,41.75,85.11,0,82.03,1.14
2021-06,Medical Devices,Monitoring Device,3,126.74,22.45,42.75,100.0,102.97,38.98,170.21,0,95.45,1.09
2021-06,Medical Devices,Monitoring Device,4,105.72,4.83,53.71,100.0,102.97,40.32,42.55,0,71.21,1.01
2021-06,Medical Devices,Monitoring Device,6,134.08,26.02,46.98,100.0,102.97,41.88,170.21,1,97.01,1.14
2021-06,Medical Devices,Monitoring Device,10,101.12,2.88,59.37,100.0,102.97,40.1,42.55,0,68.16,0.95
2021-06,IT Devices,Tablet Enterprise,3,104.76,-2.16,62.44,100.0,102.97,43.17,85.11,0,78.27,1.09
2021-06,IT Devices,Tablet Enterprise,8,109.31,3.16,58.13,100.0,102.97,39.19,85.11,0,81.63,1.07
2021-07,Accessories,Accessory Kit,8,89.63,-18.35,60.35,82.0,103.97,39.92,81.63,0,72.36,1.07
2021-07,Accessories,Accessory Kit,9,96.63,-10.89,58.9,82.0,103.97,40.69,40.82,0,65.98,1.12
2021-07,Legacy Products,Legacy Workstation,2,72.76,-16.66,55.54,82.0,103.97,40.5,81.63,0,66.59,1.02
2021-07,Legacy Products,Legacy Workstation,7,86.42,-13.71,47.92,82.0,103.97,38.09,40.82,0,64.7,1.04
2021-07,Medical Devices,Medical Sensor,1,95.5,-16.4,54.21,82.0,103.97,42.24,122.45,0,79.94,1.06
2021-07,Medical Devices,Medical Sensor,5,87.03,-19.25,52.86,82.0,103.97,42.75,40.82,0,63.16,0.97
2021-07,Medical Devices,Monitoring Device,4,95.34,-9.82,59.3,82.0,103.97,39.79,81.63,0,74.9,1.01
2021-07,Medical Devices,Monitoring Device,9,91.28,-11.72,43.61,82.0,103.97,41.77,40.82,0,67.04,1.12
2021-07,Services,Service Contract,2,94.49,-9.67,65.49,82.0,103.97,42.72,122.45,0,76.98,1.02
2021-07,Services,Service Contract,4,90.9,-13.66,75.42,82.0,103.97,41.17,204.08,0,73.59,1.01
2021-07,Services,Service Contract,6,86.53,-17.03,55.45,82.0,103.97,41.23,163.27,0,76.23,1.14
2021-07,Services,Service Contract,9,92.14,-13.79,52.02,82.0,103.97,40.94,40.82,0,65.66,1.12
2021-08,Accessories,Accessory Kit,5,83.18,-2.66,55.49,82.0,103.0,40.84,40.49,0,61.25,0.97
2021-08,Accessories,Accessory Kit,7,91.58,3.9,47.51,82.0,103.0,41.84,0.0,0,56.9,1.04
2021-08,Components,Connectivity Module,4,91.06,-13.53,48.53,82.0,103.0,40.83,80.97,0,75.25,1.01
2021-08,Components,Connectivity Module,6,88.18,-7.65,45.63,82.0,103.0,41.71,242.91,0,78.98,1.14
2021-08,Components,Connectivity Module,8,78.28,-14.27,59.25,82.0,103.0,39.94,80.97,1,67.91,1.07
2021-08,Industrial Tech,Industrial Scanner,6,93.07,0.18,49.57,82.0,103.0,41.49,242.91,0,80.1,1.14
2021-08,IT Devices,Laptop Pro,2,87.45,3.97,60.49,82.0,103.0,40.69,161.94,0,75.57,1.02
2021-08,IT Devices,Laptop Pro,8,91.7,-7.79,53.52,82.0,103.0,42.05,80.97,0,74.22,1.07
2021-08,IT Devices,Laptop Pro,9,83.05,-4.82,57.08,82.0,103.0,39.38,0.0,0,51.76,1.12
2021-08,IT Devices,Laptop Pro,10,85.57,-4.17,58.57,82.0,103.0,42.71,40.49,0,61.25,0.95
2021-08,IT Devices,Laptop Standard,7,87.93,-6.27,69.97,82.0,103.0,40.99,0.0,0,50.63,1.04
2021-08,Legacy Products,Legacy Workstation,3,77.92,-4.24,53.64,82.0,103.0,40.1,80.97,0,68.97,1.09
2021-08,Legacy Products,Legacy Workstation,4,71.79,21.49,55.38,82.0,103.0,41.31,80.97,0,65.96,1.01
2021-08,Legacy Products,Legacy Workstation,9,73.86,-25.81,65.11,82.0,103.0,40.87,40.49,0,55.4,1.12
2021-08,Legacy Products,Legacy Workstation,10,69.08,-6.84,36.58,82.0,103.0,39.8,40.49,0,59.93,0.95
2021-08,Medical Devices,Medical Sensor,1,83.06,-13.03,53.0,82.0,103.0,40.42,121.46,0,75.5,1.06
2021-08,Medical Devices,Medical Sensor,2,85.9,-11.22,51.62,82.0,103.0,39.02,80.97,0,72.77,1.02
2021-08,Medical Devices,Medical Sensor,7,89.47,-4.62,57.93,82.0,103.0,41.55,40.49,0,63.12,1.04
2021-08,Medical Devices,Monitoring Device,10,106.01,18.55,51.78,82.0,103.0,39.94,40.49,0,71.34,0.95
2021-08,Services,Service Contract,5,88.53,11.18,64.35,82.0,103.0,41.5,80.97,0,70.65,0.97
2021-08,IT Devices,Tablet Enterprise,1,95.77,4.44,54.79,82.0,103.0,42.74,202.43,0,79.85,1.06
2021-08,IT Devices,Tablet Enterprise,3,92.4,2.48,60.03,82.0,103.0,39.93,121.46,0,77.76,1.09
2021-08,IT Devices,Tablet Enterprise,7,92.29,-2.41,60.18,82.0,103.0,41.23,80.97,0,73.12,1.04
2021-09,Accessories,Accessory Kit,1,103.73,19.57,51.46,100.0,104.28,41.3,130.43,0,83.98,1.06
2021-09,Accessories,Accessory Kit,5,110.26,32.56,51.47,100.0,104.28,42.48,43.48,0,73.41,0.97
2021-09,Accessories,Accessory Kit,6,108.8,24.06,54.55,100.0,104.28,41.62,130.43,0,85.28,1.14
2021-09,Industrial Tech,Industrial Scanner,2,105.79,17.91,44.65,100.0,104.28,40.17,130.43,0,86.47,1.02
2021-09,Industrial Tech,Industrial Scanner,5,97.27,8.29,47.12,100.0,104.28,42.18,0.0,0,59.21,0.97
2021-09,IT Devices,Laptop Pro,7,105.01,19.03,55.28,100.0,104.28,40.17,43.48,0,70.82,1.04
2021-09,IT Devices,Laptop Pro,10,105.18,22.92,59.22,100.0,104.28,41.17,43.48,0,69.87,0.95
2021-09,Legacy Products,Legacy Workstation,9,80.86,9.48,61.4,100.0,104.28,41.16,173.91,1,72.66,1.12
2021-09,Medical Devices,Medical Sensor,1,107.34,29.23,54.48,100.0,104.28,43.97,217.39,0,84.35,1.06
2021-09,Medical Devices,Medical Sensor,8,107.24,6.15,59.08,100.0,104.28,41.32,43.48,0,70.7,1.07
2021-09,Medical Devices,Monitoring Device,7,112.48,18.91,56.46,100.0,104.28,45.08,0.0,0,62.81,1.04
2021-09,Services,Service Contract,1,102.47,12.39,60.79,100.0,104.28,40.37,43.48,0,68.56,1.06
2021-09,IT Devices,Tablet Enterprise,5,107.5,17.77,56.92,100.0,104.28,39.98,173.91,0,84.48,0.97
2021-09,IT Devices,Tablet Enterprise,8,107.43,26.46,62.51,100.0,104.28,40.88,130.43,0,83.09,1.07
2021-09,IT Devices,Tablet Enterprise,10,110.18,22.85,46.01,100.0,104.28,39.96,0.0,0,64.96,0.95
2021-10,Accessories,Accessory Kit,2,136.33,33.49,60.5,130.0,103.28,40.0,113.21,0,95.22,1.02
2021-10,Accessories,Accessory Kit,10,124.13,15.42,52.1,130.0,103.28,43.57,37.74,0,77.33,0.95
2021-10,Components,Connectivity Module,7,136.06,31.02,44.65,130.0,103.28,40.8,37.74,0,84.16,1.04
2021-10,Industrial Tech,Industrial Scanner,1,130.18,19.48,68.53,130.0,103.28,41.45,188.68,0,90.78,1.06
2021-10,Industrial Tech,Industrial Scanner,6,140.97,24.22,47.12,130.0,103.28,40.23,188.68,0,99.99,1.14
2021-10,Industrial Tech,Industrial Scanner,7,132.68,23.93,51.1,130.0,103.28,39.63,113.21,0,95.89,1.04
2021-10,IT Devices,Laptop Pro,2,150.37,43.5,50.26,130.0,103.28,46.16,75.47,0,96.53,1.02
2021-10,IT Devices,Laptop Standard,8,131.05,21.93,47.2,130.0,103.28,47.42,113.21,0,94.92,1.07
2021-10,Legacy Products,Legacy Workstation,6,97.67,2.45,62.99,130.0,103.28,42.42,150.94,1,78.85,1.14
2021-10,Medical Devices,Medical Sensor,2,139.47,33.85,53.29,130.0,103.28,42.06,113.21,0,97.76,1.02
2021-10,Medical Devices,Monitoring Device,1,166.13,50.0,49.38,130.0,103.28,39.8,75.47,1,100.0,1.06
2021-10,Medical Devices,Monitoring Device,2,139.76,6.09,55.39,130.0,103.28,42.11,75.47,0,91.76,1.02
2021-10,Medical Devices,Monitoring Device,8,139.36,39.35,58.86,130.0,103.28,41.13,75.47,0,90.98,1.07
2021-10,Services,Service Contract,6,153.58,28.29,48.46,130.0,103.28,41.82,150.94,0,100.0,1.14
2021-10,Services,Service Contract,7,138.31,24.4,52.3,130.0,103.28,40.81,113.21,0,97.7,1.04
2021-10,Services,Service Contract,9,152.33,36.72,53.85,130.0,103.28,42.59,37.74,0,88.38,1.12
2021-10,IT Devices,Tablet Enterprise,1,147.17,32.98,48.58,130.0,103.28,40.49,226.42,0,100.0,1.06
2021-10,IT Devices,Tablet Enterprise,2,145.47,33.23,65.59,130.0,103.28,40.45,37.74,0,83.37,1.02
2021-10,IT Devices,Tablet Enterprise,3,137.6,19.82,62.3,130.0,103.28,41.8,37.74,0,80.74,1.09
2021-10,IT Devices,Tablet Enterprise,7,136.39,23.81,60.12,130.0,103.28,40.72,37.74,0,80.9,1.04
2021-11,Components,Connectivity Module,3,157.5,6.66,46.0,130.0,107.16,40.02,79.37,0,100.0,1.09
2021-11,Components,Connectivity Module,9,162.23,3.04,47.7,130.0,107.16,40.37,39.68,0,94.47,1.12
2021-11,Industrial Tech,Industrial Scanner,8,144.31,2.82,50.41,130.0,107.16,41.81,79.37,0,95.62,1.07
2021-11,IT Devices,Laptop Pro,2,139.09,-7.5,43.66,130.0,107.16,41.32,79.37,0,95.09,1.02
2021-11,IT Devices,Laptop Pro,6,168.57,13.48,56.56,130.0,107.16,40.4,300.0,0,100.0,1.14
2021-11,IT Devices,Laptop Pro,7,153.0,18.27,51.98,130.0,107.16,40.19,39.68,0,89.86,1.04
2021-11,IT Devices,Laptop Pro,10,167.2,15.76,57.97,130.0,107.16,39.49,0.0,1,85.2,0.95
2021-11,IT Devices,Laptop Standard,1,132.64,-5.86,54.87,130.0,107.16,39.36,238.1,0,95.08,1.06
2021-11,Legacy Products,Legacy Workstation,2,110.02,-2.97,57.67,130.0,107.16,41.46,198.41,0,85.1,1.02
2021-11,Legacy Products,Legacy Workstation,10,100.45,-6.77,29.08,130.0,107.16,42.63,39.68,0,73.51,0.95
2021-11,Medical Devices,Medical Sensor,2,162.62,16.6,54.85,130.0,107.16,40.89,39.68,0,92.98,1.02
2021-11,Services,Service Contract,5,136.31,-2.15,57.1,130.0,107.16,40.25,158.73,0,95.93,0.97
2021-11,Services,Service Contract,6,160.36,4.41,47.04,130.0,107.16,41.32,79.37,0,100.0,1.14
2021-11,IT Devices,Tablet Enterprise,2,148.26,1.92,66.73,130.0,107.16,41.55,39.68,0,84.52,1.02
2021-11,IT Devices,Tablet Enterprise,6,167.12,16.66,66.39,130.0,107.16,40.98,158.73,0,100.0,1.14
2021-11,IT Devices,Tablet Enterprise,8,147.76,-2.8,61.22,130.0,107.16,41.95,0.0,0,76.34,1.07
2021-12,Accessories,Accessory Kit,5,158.21,18.0,48.68,130.0,106.57,42.03,82.3,1,100.0,0.97
2021-12,Accessories,Accessory Kit,7,139.96,-5.34,56.92,130.0,106.57,41.69,41.15,0,83.67,1.04
2021-12,Accessories,Accessory Kit,9,143.75,-3.56,56.47,130.0,106.57,41.52,41.15,0,85.31,1.12
2021-12,Components,Connectivity Module,1,158.65,-0.46,66.69,130.0,106.57,39.22,205.76,0,100.0,1.06
2021-12,Industrial Tech,Industrial Scanner,5,130.01,-11.54,56.6,130.0,106.57,41.36,123.46,0,93.35,0.97
2021-12,IT Devices,Laptop Pro,2,141.24,1.55,46.3,130.0,106.57,41.04,164.61,0,100.0,1.02
2021-12,IT Devices,Laptop Standard,2,132.49,-8.16,64.37,130.0,106.57,40.46,205.76,0,92.76,1.02
2021-12,IT Devices,Laptop Standard,3,138.19,-9.03,56.42,130.0,106.57,39.94,82.3,0,92.8,1.09
2021-12,Legacy Products,Legacy Workstation,6,120.62,-8.64,59.21,130.0,106.57,42.34,123.46,0,88.87,1.14
2021-12,Legacy Products,Legacy Workstation,9,108.57,-19.6,66.97,130.0,106.57,39.6,0.0,1,59.76,1.12
2021-12,Legacy Products,Legacy Workstation,10,124.77,24.21,30.98,130.0,106.57,42.32,41.15,0,83.21,0.95
2021-12,Medical Devices,Medical Sensor,1,154.86,-7.83,54.08,130.0,106.57,40.97,123.46,0,100.0,1.06
2021-12,Medical Devices,Medical Sensor,7,150.78,-8.9,57.16,130.0,106.57,44.42,0.0,0,78.07,1.04
2021-12,Medical Devices,Medical Sensor,9,149.22,-10.8,52.88,130.0,106.57,41.17,41.15,0,88.34,1.12
2021-12,Medical Devices,Monitoring Device,2,144.9,-6.25,54.74,130.0,106.57,42.54,82.3,0,95.47,1.02
2021-12,Medical Devices,Monitoring Device,9,161.61,-7.76,56.6,130.0,106.57,42.51,82.3,0,100.0,1.12
2021-12,Services,Service Contract,10,135.63,-6.86,58.43,130.0,106.57,43.45,82.3,0,90.81,0.95
2021-12,IT Devices,Tablet Enterprise,3,154.3,-9.26,66.46,130.0,106.57,40.27,164.61,0,100.0,1.09
2021-12,IT Devices,Tablet Enterprise,4,148.98,-2.88,60.84,130.0,106.57,40.72,41.15,0,86.56,1.01
2021-12,IT Devices,Tablet Enterprise,9,180.0,7.35,53.11,130.0,106.57,39.58,82.3,0,100.0,1.12
2022-01,Accessories,Accessory Kit,3,122.96,-23.02,64.4,100.0,103.91,40.97,113.64,0,88.87,1.09
2022-01,Accessories,Accessory Kit,8,120.16,-20.52,59.37,100.0,103.91,40.38,113.64,0,88.94,1.07
2022-01,Components,Connectivity Module,8,125.18,-29.9,64.48,100.0,103.91,41.41,75.76,0,84.1,1.07
2022-01,Industrial Tech,Industrial Scanner,2,106.85,-33.48,40.68,100.0,103.91,41.77,75.76,0,81.95,1.02
2022-01,Industrial Tech,Industrial Scanner,8,103.61,-26.95,52.72,100.0,103.91,40.16,75.76,0,78.25,1.07
2022-01,IT Devices,Laptop Pro,8,106.45,-27.4,40.94,100.0,103.91,41.86,0.0,0,64.29,1.07
2022-01,IT Devices,Laptop Pro,9,131.53,-18.54,49.16,100.0,103.91,42.59,37.88,0,81.12,1.12
2022-01,Legacy Products,Legacy Workstation,7,87.22,-27.45,55.53,100.0,103.91,41.77,75.76,0,70.83,1.04
2022-01,Legacy Products,Legacy Workstation,9,85.17,-21.55,65.0,100.0,103.91,40.38,113.64,0,73.71,1.12
2022-01,Legacy Products,Legacy Workstation,10,67.12,-46.21,33.95,100.0,103.91,55.23,37.88,0,56.81,0.95
2022-01,Medical Devices,Medical Sensor,5,112.41,-24.71,48.48,100.0,103.91,40.15,75.76,0,82.7,0.97
2022-01,Services,Service Contract,1,123.34,-26.89,65.06,100.0,103.91,40.72,151.52,0,88.91,1.06
2022-01,Services,Service Contract,6,126.05,-27.29,50.97,100.0,103.91,42.01,113.64,0,92.9,1.14
2022-01,IT Devices,Tablet Enterprise,9,99.22,-44.88,51.9,100.0,103.91,42.02,75.76,1,76.39,1.12
2022-02,Accessories,Accessory Kit,7,85.09,-20.42,52.58,100.0,104.5,39.39,42.37,1,63.31,1.04
2022-02,Accessories,Accessory Kit,10,86.66,-23.66,48.74,100.0,104.5,42.22,0.0,0,54.61,0.95
2022-02,Components,Connectivity Module,1,122.54,-4.93,64.58,100.0,104.5,42.17,211.86,0,88.48,1.06
2022-02,Components,Connectivity Module,8,133.96,7.01,60.95,100.0,104.5,40.21,84.75,0,90.64,1.07
2022-02,Industrial Tech,Industrial Scanner,4,105.41,-4.66,56.59,100.0,104.5,41.75,169.49,0,83.45,1.01
2022-02,Industrial Tech,Industrial Scanner,6,105.95,-13.46,43.96,100.0,104.5,40.95,211.86,0,86.56,1.14
