cost_id,year_month,product_id,standard_unit_cost_eur,actual_unit_cost_eur,cost_variance_eur,cost_variance_pct
105,2021-01-01,1104,885.39,945.52,60.13,0.0679135748088413
106,2021-01-01,1105,904.97,916.39,11.42,0.012619202846503199
107,2021-01-01,1106,890.6,919.6,29.0,0.03256231753873793
108,2021-01-01,1107,843.59,908.66,65.07,0.07713462701075167
109,2021-01-01,1108,950.41,906.21,-44.2,-0.0465062446733515
110,2021-01-01,1109,921.03,909.31,-11.72,-0.012724884097152101
111,2021-01-01,1110,773.04,817.07,44.03,0.05695694918762289
112,2021-01-01,1111,1160.31,1241.4,81.09,0.06988649585024692
113,2021-01-01,1112,826.37,836.69,10.32,0.012488352674951898
114,2021-01-01,1113,905.46,952.14,46.68,0.051553906301769266
115,2021-01-01,1114,1153.86,1223.13,69.27,0.06003327960064479
116,2021-01-01,1115,919.01,970.78,51.77,0.05633235764572747
117,2021-01-01,1116,963.81,1030.96,67.15,0.06967140826511449
118,2021-01-01,1117,1000.72,1061.03,60.31,0.06026660804220961
119,2021-01-01,1118,844.02,863.69,19.67,0.023305134949408782
120,2021-01-01,1119,759.04,813.22,54.18,0.07137963743676222
121,2021-01-01,1120,64.1,62.41,-1.69,-0.026365054602184086
122,2021-01-01,1121,65.54,62.28,-3.26,-0.04974061641745499
123,2021-01-01,1122,48.72,49.05,0.33,0.0067733990147783255
124,2021-01-01,1123,59.7,63.52,3.82,0.06398659966499162
125,2021-01-01,1124,49.81,49.4,-0.41,-0.008231278859666733
126,2021-01-01,1125,62.98,60.82,-2.16,-0.03429660209590346
127,2021-01-01,1126,56.8,54.35,-2.45,-0.043133802816901406
128,2021-01-01,1127,44.85,44.56,-0.29,-0.006465997770345597
129,2021-01-01,1128,67.38,64.81,-2.57,-0.038141881864054615
130,2021-01-01,1129,38.54,37.33,-1.21,-0.031395952257394916
131,2021-01-01,1130,50.83,48.61,-2.22,-0.0436749950816447
132,2021-01-01,1131,62.97,62.15,-0.82,-0.013022074003493728
133,2021-01-01,1132,68.93,66.6,-2.33,-0.03380240824024373
134,2021-01-01,1133,54.13,55.16,1.03,0.019028265287271383
135,2021-01-01,1134,77.7,82.03,4.33,0.055727155727155725
136,2021-01-01,1135,55.35,55.33,-0.02,-0.0003613369467028003
137,2021-01-01,1136,52.42,56.01,3.59,0.06848531095001907
138,2021-01-01,1137,47.22,45.16,-2.06,-0.04362558238034731
139,2021-01-01,1138,48.59,46.43,-2.16,-0.044453591273924675
140,2021-01-01,1139,56.5,60.19,3.69,0.06530973451327433
141,2021-01-01,1140,690.09,712.1,22.01,0.031894390586735065
142,2021-01-01,1141,579.95,601.05,21.1,0.036382446762651954
143,2021-01-01,1142,594.93,582.83,-12.1,-0.020338527221689946
144,2021-01-01,1143,626.95,652.27,25.32,0.040385995693436476
145,2021-01-01,1144,704.81,692.92,-11.89,-0.01686979469644301
146,2021-01-01,1145,655.22,706.4,51.18,0.07811116876774213
147,2021-01-01,1146,509.9,534.66,24.76,0.04855854089037066
148,2021-01-01,1147,696.44,742.76,46.32,0.06650967778990294
149,2021-01-01,1148,602.87,647.65,44.78,0.07427803672433526
150,2021-01-01,1149,661.76,673.46,11.7,0.017680125725338492
151,2021-01-01,1150,556.81,535.65,-21.16,-0.038002191052603225
152,2021-01-01,1151,535.6,527.3,-8.3,-0.01549663928304705
153,2021-01-01,1152,675.46,667.51,-7.95,-0.011769756906404524
154,2021-01-01,1153,556.53,529.41,-27.12,-0.048730526656244944
155,2021-01-01,1154,746.23,742.4,-3.83,-0.0051324658617316376
156,2021-01-01,1155,576.73,570.13,-6.6,-0.011443829868395957
157,2021-01-01,1156,461.93,498.22,36.29,0.07856168683566774
158,2021-01-01,1157,508.85,517.99,9.14,0.017962071337329272
159,2021-01-01,1158,697.12,682.61,-14.51,-0.020814207023181087
160,2021-01-01,1159,591.32,617.22,25.9,0.04380031116823378
161,2021-01-01,1160,49.25,52.79,3.54,0.07187817258883249
162,2021-01-01,1161,41.39,44.62,3.23,0.0780381734718531
163,2021-01-01,1162,44.53,46.46,1.93,0.043341567482596
164,2021-01-01,1163,44.82,44.0,-0.82,-0.018295403837572513
165,2021-01-01,1164,33.03,33.83,0.8,0.024220405691795337
166,2021-01-01,1165,41.26,42.25,0.99,0.023994183228308288
167,2021-01-01,1166,39.25,41.49,2.24,0.057070063694267516
168,2021-01-01,1167,59.15,60.05,0.9,0.015215553677092139
169,2021-01-01,1168,45.95,47.65,1.7,0.036996735582154515
170,2021-01-01,1169,52.76,53.88,1.12,0.02122820318423048
171,2021-01-01,1170,37.89,38.95,1.06,0.027975719187120614
172,2021-01-01,1171,32.66,31.94,-0.72,-0.02204531537048377
173,2021-01-01,1172,46.9,45.13,-1.77,-0.037739872068230276
174,2021-01-01,1173,49.26,47.24,-2.02,-0.04100690215184734
175,2021-01-01,1174,44.24,47.36,3.12,0.0705244122965642
176,2021-01-01,1175,43.63,45.35,1.72,0.03942241576896631
177,2021-01-01,1176,42.12,44.98,2.86,0.06790123456790123
178,2021-01-01,1177,56.73,58.41,1.68,0.029613960867265997
179,2021-01-01,1178,38.34,38.15,-0.19,-0.00495565988523735
180,2021-01-01,1179,46.18,44.47,-1.71,-0.037029016890428756
181,2021-01-01,1180,75.2,81.04,5.84,0.07765957446808511
182,2021-01-01,1181,78.96,75.11,-3.85,-0.04875886524822695
183,2021-01-01,1182,104.98,104.27,-0.71,-0.006763192989140789
184,2021-01-01,1183,113.45,122.26,8.81,0.07765535478184223
185,2021-01-01,1184,95.28,95.8,0.52,0.0054575986565911
186,2021-01-01,1185,78.23,74.85,-3.38,-0.043205931228428994
187,2021-01-01,1186,84.43,83.58,-0.85,-0.010067511548027952
188,2021-01-01,1187,118.73,119.78,1.05,0.008843594710688116
189,2021-01-01,1188,85.32,86.46,1.14,0.013361462728551337
190,2021-01-01,1189,88.55,90.03,1.48,0.01671372106154715
191,2021-01-01,1190,56.79,55.98,-0.81,-0.014263074484944533
192,2021-01-01,1191,69.2,70.15,0.95,0.013728323699421965
193,2021-01-01,1192,105.3,107.03,1.73,0.016429249762583097
194,2021-01-01,1193,98.22,93.79,-4.43,-0.04510283038077784
195,2021-01-01,1194,121.97,120.53,-1.44,-0.011806181847995409
196,2021-01-01,1195,81.62,78.14,-3.48,-0.042636608674344524
197,2021-01-01,1196,97.86,103.43,5.57,0.05691804618843246
198,2021-01-01,1197,98.59,95.61,-2.98,-0.03022618926868851
199,2021-01-01,1198,105.54,106.5,0.96,0.009096077316657191
200,2021-01-01,1199,111.06,107.7,-3.36,-0.030253916801728797
201,2021-02-01,1000,686.81,673.0,-13.81,-0.020107453298583305
202,2021-02-01,1001,702.57,735.14,32.57,0.04635836998448553
203,2021-02-01,1002,750.01,728.93,-21.08,-0.028106291916107785
204,2021-02-01,1003,755.27,795.77,40.5,0.05362320759463503
205,2021-02-01,1004,811.69,800.6,-11.09,-0.01366285158126871
206,2021-02-01,1005,812.19,774.0,-38.19,-0.047021017249658334
207,2021-02-01,1006,726.82,764.22,37.4,0.05145703200242151
208,2021-02-01,1007,1022.25,1056.73,34.48,0.0337295182196136
209,2021-02-01,1008,673.83,658.02,-15.81,-0.02346289123369396
210,2021-02-01,1009,569.41,541.72,-27.69,-0.04862928294199259
211,2021-02-01,1010,549.6,582.69,33.09,0.060207423580786026
212,2021-02-01,1011,674.19,723.17,48.98,0.07265014313472463
213,2021-02-01,1012,767.7,756.12,-11.58,-0.01508401719421649
214,2021-02-01,1013,532.03,507.83,-24.2,-0.04548615679566942
215,2021-02-01,1014,575.82,602.32,26.5,0.04602132610885346
216,2021-02-01,1015,518.64,556.76,38.12,0.07349992287521209
217,2021-02-01,1016,700.66,736.92,36.26,0.05175120600576599
218,2021-02-01,1017,776.42,759.11,-17.31,-0.0222946343473893
219,2021-02-01,1018,550.3,581.05,30.75,0.0558786116663638
220,2021-02-01,1019,617.71,634.96,17.25,0.027925725664146608
221,2021-02-01,1020,537.85,559.3,21.45,0.03988100771590592
222,2021-02-01,1021,391.75,393.45,1.7,0.004339502233567326
223,2021-02-01,1022,499.25,487.5,-11.75,-0.023535302954431646
224,2021-02-01,1023,418.75,419.62,0.87,0.0020776119402985075
225,2021-02-01,1024,405.23,429.26,24.03,0.05929965698492214
226,2021-02-01,1025,398.29,407.83,9.54,0.023952396495016195
227,2021-02-01,1026,404.14,417.94,13.8,0.03414658286732321
228,2021-02-01,1027,581.74,581.84,0.1,0.0001718980988070271
229,2021-02-01,1028,476.61,466.6,-10.01,-0.021002496800318918
230,2021-02-01,1029,481.57,500.83,19.26,0.03999418568432419
231,2021-02-01,1030,396.0,383.25,-12.75,-0.032196969696969696
232,2021-02-01,1031,503.42,494.62,-8.8,-0.01748043383258512
233,2021-02-01,1032,465.85,468.74,2.89,0.00620371364173017
234,2021-02-01,1033,498.17,518.68,20.51,0.04117068470602405
235,2021-02-01,1034,463.71,476.12,12.41,0.02676241616527571
236,2021-02-01,1035,560.87,563.94,3.07,0.005473639167721575
237,2021-02-01,1036,449.06,464.19,15.13,0.033692602324856366
238,2021-02-01,1037,555.06,581.82,26.76,0.04821100421576046
239,2021-02-01,1038,362.85,370.51,7.66,0.021110651784483948
240,2021-02-01,1039,599.15,593.27,-5.88,-0.009813903029291497
241,2021-02-01,1040,269.58,256.3,-13.28,-0.04926181467467913
242,2021-02-01,1041,246.03,265.33,19.3,0.0784457180018697
243,2021-02-01,1042,329.55,348.5,18.95,0.05750265513579123
244,2021-02-01,1043,330.85,332.36,1.51,0.0045640018135106545
245,2021-02-01,1044,286.23,283.84,-2.39,-0.008349928379275407
246,2021-02-01,1045,290.85,299.14,8.29,0.028502664603747636
247,2021-02-01,1046,344.49,371.22,26.73,0.07759296351127754
248,2021-02-01,1047,266.94,272.23,5.29,0.019817187382932495
249,2021-02-01,1048,291.32,309.09,17.77,0.060998215021282436
250,2021-02-01,1049,400.28,418.41,18.13,0.0452932946937144
251,2021-02-01,1050,299.31,286.71,-12.6,-0.04209682269219204
252,2021-02-01,1051,287.4,284.02,-3.38,-0.011760612386917188
253,2021-02-01,1052,293.34,279.22,-14.12,-0.048135269652962435
254,2021-02-01,1053,378.5,402.42,23.92,0.06319682959048877
255,2021-02-01,1054,328.22,334.59,6.37,0.01940771433794406
256,2021-02-01,1055,292.42,287.41,-5.01,-0.017132891047124
257,2021-02-01,1056,280.54,298.2,17.66,0.06295002495187851
258,2021-02-01,1057,304.69,302.09,-2.6,-0.00853326331681381
259,2021-02-01,1058,260.85,279.41,18.56,0.07115200306689669
260,2021-02-01,1059,289.5,301.9,12.4,0.04283246977547496
261,2021-02-01,1060,70.24,67.54,-2.7,-0.03843963553530752
262,2021-02-01,1061,154.8,165.18,10.38,0.06705426356589148
263,2021-02-01,1062,118.56,123.64,5.08,0.042847503373819165
264,2021-02-01,1063,88.66,94.6,5.94,0.06699751861042183
265,2021-02-01,1064,88.13,88.14,0.01,0.0001134687393623056
266,2021-02-01,1065,87.43,92.28,4.85,0.05547294978840215
267,2021-02-01,1066,94.68,90.42,-4.26,-0.044993662864385296
268,2021-02-01,1067,90.05,96.54,6.49,0.07207107162687396
269,2021-02-01,1068,114.02,108.82,-5.2,-0.0456060340291177
270,2021-02-01,1069,102.77,105.5,2.73,0.0265641724238591
271,2021-02-01,1070,125.03,122.98,-2.05,-0.01639606494441334
272,2021-02-01,1071,97.16,92.46,-4.7,-0.048373816385343764
273,2021-02-01,1072,118.27,126.66,8.39,0.07093937600405852
274,2021-02-01,1073,84.17,84.4,0.23,0.0027325650469288347
275,2021-02-01,1074,92.04,91.25,-0.79,-0.0085832246849196
276,2021-02-01,1075,159.14,160.36,1.22,0.007666205856478573
277,2021-02-01,1076,110.16,110.11,-0.05,-0.0004538852578068264
278,2021-02-01,1077,156.69,152.88,-3.81,-0.02431552747463144
279,2021-02-01,1078,110.34,106.93,-3.41,-0.03090447707087185
280,2021-02-01,1079,92.6,96.46,3.86,0.04168466522678186
281,2021-02-01,1080,594.55,569.04,-25.51,-0.04290639979816668
282,2021-02-01,1081,500.18,523.45,23.27,0.04652325162941341
283,2021-02-01,1082,531.14,535.26,4.12,0.007756900252287533
284,2021-02-01,1083,602.32,615.48,13.16,0.021848851109045025
285,2021-02-01,1084,387.87,399.9,12.03,0.031015546445974165
286,2021-02-01,1085,443.06,467.58,24.52,0.055342391549677246
287,2021-02-01,1086,405.42,431.94,26.52,0.06541364510877608
288,2021-02-01,1087,310.43,309.97,-0.46,-0.0014818155461778823
289,2021-02-01,1088,705.03,684.18,-20.85,-0.029573209650653163
290,2021-02-01,1089,301.05,311.08,10.03,0.033316724796545426
291,2021-02-01,1090,371.96,355.58,-16.38,-0.04403699322507797
292,2021-02-01,1091,463.7,459.76,-3.94,-0.008496872978218675
293,2021-02-01,1092,429.88,439.58,9.7,0.0225644365869545
294,2021-02-01,1093,391.7,382.31,-9.39,-0.023972427878478426
295,2021-02-01,1094,439.63,454.35,14.72,0.03348270136250938
296,2021-02-01,1095,482.52,504.06,21.54,0.044640636657547875
297,2021-02-01,1096,499.67,533.71,34.04,0.06812496247523366
298,2021-02-01,1097,418.85,424.93,6.08,0.014515936492777845
299,2021-02-01,1098,391.12,388.79,-2.33,-0.005957250971568828
300,2021-02-01,1099,524.26,535.0,10.74,0.020486018387822835
301,2021-02-01,1100,853.72,825.45,-28.27,-0.03311390151337675
302,2021-02-01,1101,803.21,843.3,40.09,0.049912227188406516
303,2021-02-01,1102,1145.26,1174.44,29.18,0.025478930548521732
304,2021-02-01,1103,1116.28,1062.96,-53.32,-0.04776579352850539
305,2021-02-01,1104,889.5,872.63,-16.87,-0.018965711073636874
306,2021-02-01,1105,865.59,920.84,55.25,0.06382929562494946
307,2021-02-01,1106,921.85,901.86,-19.99,-0.021684655855074036
308,2021-02-01,1107,882.91,913.2,30.29,0.034307007509259156
309,2021-02-01,1108,935.55,937.79,2.24,0.0023943135054246166
310,2021-02-01,1109,915.48,963.23,47.75,0.05215843055009394
311,2021-02-01,1110,797.22,769.54,-27.68,-0.034720654273600764
312,2021-02-01,1111,1148.81,1217.16,68.35,0.059496348395296
313,2021-02-01,1112,818.24,870.55,52.31,0.06392989831834181
314,2021-02-01,1113,947.12,998.94,51.82,0.05471323591519554
315,2021-02-01,1114,1184.54,1212.82,28.28,0.023874246542961823
316,2021-02-01,1115,912.89,956.68,43.79,0.04796853947354007
317,2021-02-01,1116,955.88,909.92,-45.96,-0.04808134912332092
318,2021-02-01,1117,1027.05,1056.28,29.23,0.028460152865001705
319,2021-02-01,1118,851.23,865.07,13.84,0.01625882546432809
320,2021-02-01,1119,780.85,747.07,-33.78,-0.04326054940129346
321,2021-02-01,1120,64.04,63.7,-0.34,-0.005309181761399126
322,2021-02-01,1121,68.17,73.34,5.17,0.07583981223412058
323,2021-02-01,1122,45.47,45.65,0.18,0.003958654057620409
324,2021-02-01,1123,56.11,59.09,2.98,0.05310996257351631
325,2021-02-01,1124,48.97,49.36,0.39,0.007964059628343885
326,2021-02-01,1125,61.12,60.38,-0.74,-0.012107329842931938
327,2021-02-01,1126,52.28,55.3,3.02,0.05776587605202754
328,2021-02-01,1127,44.99,43.81,-1.18,-0.026228050677928428
329,2021-02-01,1128,72.17,77.83,5.66,0.07842593875571567
330,2021-02-01,1129,38.4,36.81,-1.59,-0.04140625
331,2021-02-01,1130,51.98,50.17,-1.81,-0.03482108503270489
332,2021-02-01,1131,60.99,59.16,-1.83,-0.03000491883915396
333,2021-02-01,1132,69.14,65.92,-3.22,-0.04657217240381834
334,2021-02-01,1133,56.22,53.57,-2.65,-0.04713625044468161
335,2021-02-01,1134,76.76,75.48,-1.28,-0.016675351745700884
336,2021-02-01,1135,53.07,56.27,3.2,0.060297719992462785
337,2021-02-01,1136,52.36,56.34,3.98,0.0760122230710466
338,2021-02-01,1137,47.79,49.98,2.19,0.045825486503452605
339,2021-02-01,1138,49.37,52.89,3.52,0.07129835932752684
340,2021-02-01,1139,58.95,60.82,1.87,0.031721798134011873
341,2021-02-01,1140,682.14,665.59,-16.55,-0.024261881725159057
342,2021-02-01,1141,575.35,556.65,-18.7,-0.032501955331537324
343,2021-02-01,1142,603.43,650.78,47.35,0.07846809074789123
344,2021-02-01,1143,613.22,630.6,17.38,0.02834219366622093
345,2021-02-01,1144,683.26,687.15,3.89,0.00569329391446887
346,2021-02-01,1145,650.35,630.49,-19.86,-0.03053740293688014
347,2021-02-01,1146,505.06,517.12,12.06,0.023878351086999563
348,2021-02-01,1147,694.44,743.51,49.07,0.07066125223201429
349,2021-02-01,1148,572.03,567.23,-4.8,-0.008391168295369124
350,2021-02-01,1149,643.44,640.15,-3.29,-0.005113141862489121
351,2021-02-01,1150,552.16,538.27,-13.89,-0.025155751955954795
352,2021-02-01,1151,499.83,512.1,12.27,0.02454834643778885
353,2021-02-01,1152,701.22,714.9,13.68,0.019508855993839308
354,2021-02-01,1153,561.1,580.44,19.34,0.03446800926751025
355,2021-02-01,1154,743.01,752.14,9.13,0.012287856152676276
356,2021-02-01,1155,566.08,557.07,-9.01,-0.01591647823629169
357,2021-02-01,1156,471.35,488.58,17.23,0.036554577278031186
358,2021-02-01,1157,490.78,476.12,-14.66,-0.029870817881739273
359,2021-02-01,1158,656.3,662.79,6.49,0.009888770379399664
360,2021-02-01,1159,588.15,620.03,31.88,0.05420385955963615
361,2021-02-01,1160,47.61,47.48,-0.13,-0.0027305187985717286
362,2021-02-01,1161,43.26,42.64,-0.62,-0.014331946370781322
363,2021-02-01,1162,46.23,47.87,1.64,0.035474799913476095
364,2021-02-01,1163,43.11,46.49,3.38,0.07840408257944792
365,2021-02-01,1164,34.02,34.89,0.87,0.025573192239858905
366,2021-02-01,1165,41.44,44.32,2.88,0.0694980694980695
367,2021-02-01,1166,39.47,40.25,0.78,0.019761844438814288
368,2021-02-01,1167,59.14,57.15,-1.99,-0.03364896854920527
369,2021-02-01,1168,45.99,47.51,1.52,0.03305066318764949
370,2021-02-01,1169,52.22,55.74,3.52,0.0674071237073918
371,2021-02-01,1170,37.4,38.0,0.6,0.016042780748663103
372,2021-02-01,1171,31.55,32.31,0.76,0.024088748019017434
373,2021-02-01,1172,45.72,48.09,2.37,0.05183727034120735
374,2021-02-01,1173,48.53,48.67,0.14,0.00288481351741191
375,2021-02-01,1174,45.23,43.22,-2.01,-0.044439531284545655
376,2021-02-01,1175,44.05,42.89,-1.16,-0.02633371169125993
377,2021-02-01,1176,41.68,44.83,3.15,0.07557581573896353
378,2021-02-01,1177,54.16,54.2,0.04,0.0007385524372230428
379,2021-02-01,1178,40.04,40.23,0.19,0.004745254745254745
380,2021-02-01,1179,42.35,42.42,0.07,0.001652892561983471
381,2021-02-01,1180,73.57,76.37,2.8,0.038058991436726926
382,2021-02-01,1181,77.22,75.79,-1.43,-0.018518518518518517
383,2021-02-01,1182,98.65,105.92,7.27,0.07369488089204257
384,2021-02-01,1183,119.35,116.58,-2.77,-0.023209049015500628
385,2021-02-01,1184,89.98,96.76,6.78,0.07535007779506557
386,2021-02-01,1185,75.96,80.29,4.33,0.05700368615060558
387,2021-02-01,1186,80.97,78.13,-2.84,-0.03507471903174015
388,2021-02-01,1187,118.62,120.36,1.74,0.014668689934243804
389,2021-02-01,1188,86.41,91.5,5.09,0.05890521930332138
390,2021-02-01,1189,85.67,90.83,5.16,0.060231119411696045
391,2021-02-01,1190,56.15,59.51,3.36,0.05983971504897596
392,2021-02-01,1191,64.47,64.81,0.34,0.00527377074608345
393,2021-02-01,1192,102.48,101.36,-1.12,-0.01092896174863388
394,2021-02-01,1193,98.78,94.85,-3.93,-0.03978538165620571
395,2021-02-01,1194,126.53,130.33,3.8,0.030032403382597012
396,2021-02-01,1195,79.85,80.57,0.72,0.009016906700062617
397,2021-02-01,1196,98.62,102.64,4.02,0.04076252281484486
398,2021-02-01,1197,93.61,99.68,6.07,0.06484349962610832
399,2021-02-01,1198,106.03,106.08,0.05,0.0004715646515137225
400,2021-02-01,1199,108.57,110.37,1.8,0.01657916551533573
401,2021-03-01,1000,698.89,745.17,46.28,0.06621929058936313
402,2021-03-01,1001,714.45,716.14,1.69,0.0023654559451326196
403,2021-03-01,1002,715.32,741.26,25.94,0.036263490465805515
404,2021-03-01,1003,744.17,760.53,16.36,0.02198422403483075
405,2021-03-01,1004,782.79,809.66,26.87,0.03432593671355025
406,2021-03-01,1005,830.47,809.22,-21.25,-0.025587920093441064
407,2021-03-01,1006,704.65,679.44,-25.21,-0.035776626694103454
408,2021-03-01,1007,959.52,920.51,-39.01,-0.04065574453893613
409,2021-03-01,1008,667.35,716.19,48.84,0.07318498538997527
410,2021-03-01,1009,552.94,536.3,-16.64,-0.030093681050385214
