return_id,sales_id,date_id,return_date,customer_id,product_id,region_id,return_units,return_value_eur,return_reason
64,5145,20230620,2023-06-20,88,1175,3,15,861.57,Defect
65,45415,20231031,2023-10-31,549,1131,3,1,88.01,Defect
66,86313,20231003,2023-10-03,828,1103,1,1,1491.51,Defect
67,71796,20240926,2024-09-26,219,1176,1,6,278.24,Shipping Damage
68,22164,20250802,2025-08-02,141,1175,7,6,392.87,Wrong Configuration
69,31425,20230902,2023-09-02,477,1010,6,1,744.96,Other
70,92656,20240728,2024-07-28,382,1184,5,8,1552.42,Shipping Damage
71,114698,20251211,2025-12-11,122,1020,1,17,10571.37,Customer Cancellation
72,115205,20240228,2024-02-28,849,1136,5,5,361.8,Shipping Damage
73,49837,20251209,2025-12-09,1154,1124,8,19,1484.56,Wrong Configuration
74,5485,20251228,2025-12-28,485,1064,1,22,3363.82,Shipping Damage
75,31003,20250811,2025-08-11,1125,1046,6,1,611.17,Wrong Configuration
76,44957,20251124,2025-11-24,956,1066,9,21,3983.12,Defect
77,29403,20231107,2023-11-07,1106,1132,8,1,88.97,Wrong Configuration
78,26910,20251028,2025-10-28,11,1045,3,2,812.66,Defect
79,511,20250421,2025-04-21,1017,1114,1,1,1818.78,Customer Cancellation
80,6129,20210710,2021-07-10,485,1135,1,13,840.12,Defect
81,404,20251011,2025-10-11,465,1077,6,33,7708.89,Other
82,110157,20240607,2024-06-07,416,1035,9,3,1774.05,Wrong Configuration
83,1267,20220507,2022-05-07,134,1083,5,1,1062.67,Wrong Configuration
84,28998,20251225,2025-12-25,1181,1098,3,1,626.07,Defect
85,56772,20240610,2024-06-10,1137,1126,4,37,3049.3,Wrong Configuration
86,87882,20240428,2024-04-28,363,1128,8,8,723.74,Wrong Configuration
87,87794,20240225,2024-02-25,1079,1127,5,6,351.69,Shipping Damage
88,88232,20250111,2025-01-11,44,1104,5,26,33634.31,Wrong Configuration
89,74039,20231105,2023-11-05,717,1007,2,17,20573.33,Defect
90,86965,20220124,2022-01-24,615,1135,9,3,227.98,Shipping Damage
91,64655,20251005,2025-10-05,229,1039,9,11,8164.92,Other
92,85147,20220308,2022-03-08,1026,1167,4,12,704.93,Shipping Damage
93,89322,20231218,2023-12-18,212,1085,6,2,1326.86,Defect
94,32145,20220602,2022-06-02,585,1149,2,12,6620.12,Defect
95,47748,20230921,2023-09-21,583,1062,10,5,847.85,Other
96,46200,20221206,2022-12-06,316,1008,7,22,21495.83,Customer Cancellation
97,2357,20240103,2024-01-03,531,1139,7,3,227.06,Wrong Configuration
98,3011,20251214,2025-12-14,274,1165,5,2,125.47,Wrong Configuration
99,13287,20240709,2024-07-09,1158,1186,6,16,2313.87,Defect
100,75211,20250915,2025-09-15,819,1168,3,17,1022.1,Defect
101,50409,20240521,2024-05-21,812,1031,3,10,6863.06,Defect
102,38765,20251228,2025-12-28,1170,1152,9,1,650.15,Defect
103,60290,20240215,2024-02-15,882,1117,8,3,4838.6,Defect
104,95133,20250122,2025-01-22,800,1054,5,1,496.09,Defect
105,97021,20230416,2023-04-16,770,1037,2,3,2145.13,Defect
106,100181,20230513,2023-05-13,465,1032,6,4,2042.57,Defect
107,69396,20250908,2025-09-08,722,1161,1,5,240.46,Defect
108,117041,20231201,2023-12-01,37,1079,3,12,1944.16,Customer Cancellation
109,103840,20231115,2023-11-15,170,1117,9,1,1402.42,Wrong Configuration
110,30770,20250325,2025-03-25,884,1090,1,1,867.18,Defect
111,203,20250331,2025-03-31,292,1153,1,1,754.23,Wrong Configuration
112,94424,20230313,2023-03-13,269,1054,6,1,394.18,Defect
113,102151,20250622,2025-06-22,162,1058,8,5,2235.66,Wrong Configuration
114,84736,20240513,2024-05-13,416,1126,9,14,1127.98,Shipping Damage
115,108876,20240503,2024-05-03,1083,1097,9,17,11230.85,Shipping Damage
116,43863,20241108,2024-11-08,130,1178,3,29,1336.25,Customer Cancellation
117,15303,20240727,2024-07-27,350,1086,6,11,7620.99,Wrong Configuration
118,94059,20221027,2022-10-27,152,1012,7,7,6926.61,Shipping Damage
119,4655,20230704,2023-07-04,67,1095,6,1,737.7,Defect
120,97870,20230124,2023-01-24,913,1118,7,1,1139.15,Defect
121,36984,20240822,2024-08-22,362,1111,5,6,10026.42,Defect
122,109824,20240813,2024-08-13,1144,1004,8,3,3396.98,Defect
123,2643,20240803,2024-08-03,955,1110,4,30,33454.12,Wrong Configuration
124,66258,20250506,2025-05-06,290,1100,5,13,17174.59,Defect
125,55498,20220620,2022-06-20,263,1129,2,11,524.43,Defect
126,5131,20241226,2024-12-26,904,1000,3,1,1104.92,Defect
127,117677,20220725,2022-07-25,575,1127,3,45,2674.75,Shipping Damage
128,114935,20230930,2023-09-30,585,1177,2,15,860.1,Shipping Damage
129,97763,20230514,2023-05-14,1110,1199,1,1,297.42,Wrong Configuration
130,95641,20250514,2025-05-14,363,1133,8,80,4423.39,Defect
131,37002,20251019,2025-10-19,703,1140,1,8,5853.57,Defect
132,78956,20240223,2024-02-23,323,1031,1,17,11468.34,Defect
133,90728,20231122,2023-11-22,622,1126,9,4,358.44,Defect
134,85538,20240208,2024-02-08,67,1086,6,9,5895.62,Shipping Damage
135,98597,20251230,2025-12-30,814,1192,10,7,1873.91,Defect
136,109985,20250719,2025-07-19,988,1025,4,4,2405.53,Defect
137,7629,20210607,2021-06-07,665,1007,6,3,3581.89,Defect
138,44707,20251001,2025-10-01,145,1060,2,3,412.87,Wrong Configuration
139,119962,20250703,2025-07-03,1070,1104,5,4,5616.49,Wrong Configuration
140,86214,20240327,2024-03-27,1030,1139,10,7,493.54,Wrong Configuration
141,10790,20250125,2025-01-25,1048,1069,2,1,178.18,Customer Cancellation
142,107959,20220817,2022-08-17,110,1097,8,4,2935.17,Customer Cancellation
143,60347,20230622,2023-06-22,740,1099,2,1,765.28,Customer Cancellation
144,79828,20250710,2025-07-10,23,1129,3,10,591.43,Other
145,56932,20241116,2024-11-16,682,1115,8,17,22944.72,Customer Cancellation
146,113505,20231128,2023-11-28,750,1152,5,2,1479.7,Customer Cancellation
147,1953,20221209,2022-12-09,578,1188,2,22,4504.29,Other
148,52695,20230320,2023-03-20,758,1015,10,17,11156.06,Defect
149,18225,20241116,2024-11-16,615,1003,9,4,4104.13,Customer Cancellation
150,66004,20250505,2025-05-05,728,1068,8,13,3166.68,Customer Cancellation
151,33653,20250218,2025-02-18,435,1008,1,4,4202.75,Defect
152,7313,20231217,2023-12-17,128,1067,2,21,3193.17,Defect
153,105868,20240712,2024-07-12,989,1091,7,2,1442.6,Defect
154,74922,20240330,2024-03-30,928,1014,6,19,14706.32,Customer Cancellation
155,55848,20251107,2025-11-07,520,1198,1,1,361.66,Customer Cancellation
156,31044,20250817,2025-08-17,195,1043,4,10,4183.99,Shipping Damage
157,38345,20250609,2025-06-09,734,1019,5,1,921.32,Defect
158,29530,20251020,2025-10-20,351,1161,6,6,281.4,Defect
159,599,20230707,2023-07-07,612,1068,1,24,4539.86,Defect
160,115336,20231030,2023-10-30,738,1094,3,1,772.52,Customer Cancellation
161,110171,20220810,2022-08-10,1076,1094,7,9,6801.62,Wrong Configuration
162,18758,20250205,2025-02-05,1075,1048,4,3,1220.23,Other
163,36337,20230404,2023-04-04,288,1199,2,1,232.57,Shipping Damage
164,64657,20210822,2021-08-22,415,1102,5,6,8099.8,Customer Cancellation
165,76188,20250607,2025-06-07,485,1126,1,23,2017.55,Customer Cancellation
166,81451,20250415,2025-04-15,1180,1008,1,52,53960.28,Defect
167,35845,20250918,2025-09-18,898,1199,4,2,557.85,Shipping Damage
168,68712,20250111,2025-01-11,480,1018,1,2,1686.43,Wrong Configuration
169,77984,20250227,2025-02-27,1126,1199,5,3,717.9,Customer Cancellation
170,115793,20210710,2021-07-10,545,1062,6,5,872.11,Other
171,71867,20250622,2025-06-22,592,1182,10,18,4041.63,Shipping Damage
172,99148,20251230,2025-12-30,518,1099,6,3,2403.15,Customer Cancellation
173,67053,20241021,2024-10-21,436,1160,5,10,533.4,Shipping Damage
174,5245,20250529,2025-05-29,436,1115,5,6,9289.88,Customer Cancellation
175,37555,20230419,2023-04-19,514,1129,10,3,173.94,Defect
176,30397,20251001,2025-10-01,527,1086,8,1,752.45,Defect
177,49737,20251228,2025-12-28,548,1088,8,23,23140.6,Shipping Damage
178,15322,20220322,2022-03-22,679,1106,6,6,6642.67,Defect
179,38013,20250910,2025-09-10,128,1181,2,20,5163.28,Defect
180,11854,20241112,2024-11-12,232,1002,6,4,4187.51,Shipping Damage
181,35383,20220515,2022-05-15,17,1076,1,5,820.85,Shipping Damage
182,93734,20250117,2025-01-17,569,1011,1,12,10704.31,Shipping Damage
183,47107,20230318,2023-03-18,474,1068,5,16,3626.91,Other
184,80867,20250821,2025-08-21,1109,1117,4,4,6287.27,Wrong Configuration
185,84332,20250928,2025-09-28,192,1174,1,4,267.38,Defect
186,10047,20230226,2023-02-26,51,1041,5,1,363.88,Wrong Configuration
187,11717,20251212,2025-12-12,7,1194,4,49,12472.02,Customer Cancellation
188,79708,20251215,2025-12-15,312,1168,6,1,65.94,Defect
189,84813,20211231,2021-12-31,98,1159,3,3,1903.37,Shipping Damage
190,61763,20251111,2025-11-11,13,1028,1,2,1168.26,Shipping Damage
191,24497,20250627,2025-06-27,401,1088,8,16,13155.11,Wrong Configuration
192,38015,20240413,2024-04-13,770,1069,2,2,337.27,Other
193,115199,20230221,2023-02-21,684,1005,1,1,1149.13,Wrong Configuration
194,18770,20221124,2022-11-24,761,1198,1,5,1251.39,Shipping Damage
195,2837,20250426,2025-04-26,945,1155,6,41,22705.57,Wrong Configuration
196,110783,20240919,2024-09-19,1099,1124,5,1,72.35,Wrong Configuration
197,11878,20240411,2024-04-11,653,1056,1,1,348.75,Customer Cancellation
198,95034,20250315,2025-03-15,495,1070,2,2,584.18,Wrong Configuration
199,49671,20220906,2022-09-06,502,1049,3,15,7192.57,Shipping Damage
200,25308,20241024,2024-10-24,193,1020,8,5,3712.34,Customer Cancellation
201,95181,20230815,2023-08-15,296,1008,1,3,3275.4,Wrong Configuration
202,47252,20241128,2024-11-28,1085,1046,6,14,5864.42,Defect
203,115681,20230825,2023-08-25,1164,1059,6,5,2014.36,Defect
204,118066,20251222,2025-12-22,185,1029,4,11,6543.38,Defect
205,74393,20230201,2023-02-01,280,1038,6,1,509.81,Other
206,119768,20240406,2024-04-06,739,1098,1,5,3201.13,Customer Cancellation
207,92371,20230620,2023-06-20,395,1062,1,19,3032.64,Wrong Configuration
208,8402,20241110,2024-11-10,779,1107,5,5,6529.86,Defect
209,56591,20251229,2025-12-29,670,1197,2,1,244.33,Defect
210,63478,20250203,2025-02-03,465,1084,6,6,3790.75,Shipping Damage
211,52198,20240416,2024-04-16,935,1088,2,3,3055.54,Wrong Configuration
212,23987,20250530,2025-05-30,1076,1135,7,12,856.62,Defect
213,37451,20220426,2022-04-26,713,1002,4,3,3101.31,Customer Cancellation
214,76458,20251107,2025-11-07,1081,1078,4,5,849.13,Defect
215,77395,20241010,2024-10-10,117,1049,1,25,10930.92,Wrong Configuration
216,56990,20230904,2023-09-04,385,1163,3,18,923.96,Defect
217,62043,20250208,2025-02-08,475,1076,1,1,191.97,Customer Cancellation
218,94164,20231006,2023-10-06,599,1110,6,7,8552.36,Defect
219,31605,20251024,2025-10-24,395,1165,1,10,597.81,Defect
220,6472,20240828,2024-08-28,201,1021,1,1,568.63,Defect
221,7880,20240603,2024-06-03,911,1119,6,1,1532.92,Wrong Configuration
222,100996,20220922,2022-09-22,998,1056,5,3,1096.85,Defect
223,87061,20220615,2022-06-15,132,1132,6,2,184.2,Defect
224,96349,20240105,2024-01-05,265,1016,2,8,8160.72,Other
225,35879,20250303,2025-03-03,1069,1197,6,5,1068.36,Wrong Configuration
226,40011,20251228,2025-12-28,218,1067,3,11,2038.76,Customer Cancellation
227,114333,20250130,2025-01-30,27,1013,9,10,8083.05,Wrong Configuration
228,87684,20220829,2022-08-29,296,1138,1,4,236.35,Customer Cancellation
229,68375,20240302,2024-03-02,191,1128,9,2,197.27,Customer Cancellation
230,91306,20240611,2024-06-11,598,1043,2,8,3062.65,Wrong Configuration
231,59780,20240314,2024-03-14,167,1081,6,5,4166.47,Shipping Damage
232,31143,20250331,2025-03-31,704,1086,1,3,2112.92,Defect
233,68179,20231206,2023-12-06,1114,1038,2,3,1332.07,Defect
234,2302,20251022,2025-10-22,838,1198,2,1,318.27,Wrong Configuration
235,70486,20230430,2023-04-30,395,1064,1,3,440.85,Defect
236,118093,20231014,2023-10-14,979,1028,1,25,13341.54,Defect
237,18008,20210514,2021-05-14,1042,1109,9,2,3010.39,Wrong Configuration
238,72624,20240928,2024-09-28,968,1183,2,7,1872.36,Customer Cancellation
239,74177,20220411,2022-04-11,430,1131,1,13,1033.89,Defect
240,31643,20250910,2025-09-10,1116,1197,5,34,7213.45,Defect
241,73837,20241213,2024-12-13,309,1081,1,14,9410.46,Defect
242,22675,20250903,2025-09-03,583,1096,10,1,710.23,Defect
243,109272,20250423,2025-04-23,1060,1001,2,12,11097.65,Wrong Configuration
244,50246,20241005,2024-10-05,128,1011,2,14,12221.08,Wrong Configuration
245,18771,20240423,2024-04-23,898,1126,4,4,362.66,Defect
246,68083,20251216,2025-12-16,337,1108,10,1,1348.94,Wrong Configuration
247,114547,20240206,2024-02-06,739,1097,1,1,702.13,Customer Cancellation
248,102922,20240625,2024-06-25,694,1020,9,14,9551.97,Wrong Configuration
249,51346,20251209,2025-12-09,248,1026,10,29,14310.22,Defect
250,91669,20231214,2023-12-14,59,1013,8,3,2199.97,Defect
251,23068,20250308,2025-03-08,569,1169,1,18,1186.3,Wrong Configuration
252,65822,20230130,2023-01-30,928,1030,6,34,16948.4,Wrong Configuration
253,78185,20230701,2023-07-01,704,1145,1,23,17094.76,Defect
254,73650,20250413,2025-04-13,680,1164,2,1,48.02,Wrong Configuration
255,71101,20251227,2025-12-27,1130,1171,2,26,1090.76,Defect
256,40265,20251121,2025-11-21,1025,1043,6,2,833.61,Customer Cancellation
257,16774,20241211,2024-12-11,132,1029,6,4,2577.93,Customer Cancellation
258,61117,20220516,2022-05-16,277,1097,1,27,16274.38,Wrong Configuration
259,79421,20251216,2025-12-16,573,1098,3,4,2566.02,Defect
260,50507,20241011,2024-10-11,983,1029,3,33,18931.6,Customer Cancellation
261,38475,20240505,2024-05-05,1040,1036,1,4,2145.66,Shipping Damage
262,32797,20231227,2023-12-27,562,1112,2,6,7432.14,Other
263,25012,20240325,2024-03-25,179,1100,6,18,24106.58,Shipping Damage
264,44397,20250627,2025-06-27,1162,1169,1,13,852.99,Customer Cancellation
265,32082,20240527,2024-05-27,484,1044,5,1,376.86,Defect
266,25767,20240316,2024-03-16,551,1082,10,2,1792.97,Defect
267,2313,20241222,2024-12-22,1101,1139,6,4,304.43,Wrong Configuration
268,97004,20250111,2025-01-11,170,1146,9,4,2395.05,Defect
269,104230,20250823,2025-08-23,179,1154,6,24,16889.28,Other
270,107270,20250326,2025-03-26,694,1003,9,2,1985.38,Other
271,89783,20231229,2023-12-29,812,1032,3,12,7290.45,Other
272,39698,20241206,2024-12-06,967,1090,7,2,1380.21,Shipping Damage
273,74109,20241216,2024-12-16,311,1155,8,2,1256.22,Customer Cancellation
274,54262,20231205,2023-12-05,937,1171,3,2,79.73,Wrong Configuration
275,22272,20240125,2024-01-25,457,1057,4,16,5375.64,Customer Cancellation
276,33262,20220807,2022-08-07,1044,1002,2,5,4712.1,Defect
277,96926,20250126,2025-01-26,1076,1015,7,43,30838.57,Defect
278,40517,20220915,2022-09-15,124,1038,3,3,1294.15,Defect
279,13714,20251118,2025-11-18,734,1044,5,4,1626.06,Defect
280,21357,20250318,2025-03-18,1079,1125,5,17,1710.91,Wrong Configuration
281,112572,20220707,2022-07-07,1013,1177,1,1,64.99,Defect
282,92170,20251223,2025-12-23,849,1110,5,22,27423.15,Shipping Damage
283,26962,20240308,2024-03-08,465,1176,6,12,573.95,Defect
284,64930,20211122,2021-11-22,622,1036,9,11,5944.19,Shipping Damage
285,28255,20230128,2023-01-28,485,1021,1,9,4266.52,Defect
286,10093,20220930,2022-09-30,74,1150,5,1,551.69,Defect
287,54333,20241228,2024-12-28,781,1081,1,1,842.25,Customer Cancellation
288,8088,20240820,2024-08-20,754,1108,9,11,14974.29,Defect
289,115832,20230813,2023-08-13,1139,1167,10,11,765.79,Defect
290,46119,20241206,2024-12-06,303,1114,1,4,6123.41,Customer Cancellation
291,74782,20240822,2024-08-22,108,1184,10,3,618.32,Defect
292,35345,20231208,2023-12-08,517,1098,7,19,9961.36,Shipping Damage
293,43850,20221226,2022-12-26,770,1062,2,2,331.28,Wrong Configuration
294,81640,20231224,2023-12-24,299,1068,9,1,202.52,Defect
295,66397,20250121,2025-01-21,758,1045,10,16,6963.17,Other
296,58397,20220728,2022-07-28,265,1117,2,7,8422.63,Wrong Configuration
297,112600,20230122,2023-01-22,930,1108,6,8,9954.86,Shipping Damage
298,51039,20240322,2024-03-22,754,1077,9,1,236.25,Defect
299,81691,20240528,2024-05-28,1158,1171,6,38,1615.51,Defect
300,23160,20251203,2025-12-03,1081,1170,4,2,97.78,Customer Cancellation
301,117219,20230930,2023-09-30,721,1072,6,6,1085.0,Customer Cancellation
302,88018,20240406,2024-04-06,790,1045,6,6,2629.26,Wrong Configuration
303,41884,20251209,2025-12-09,281,1034,10,22,17506.18,Customer Cancellation
304,108701,20240308,2024-03-08,351,1087,6,7,3448.89,Other
305,25095,20240705,2024-07-05,589,1022,2,7,4721.17,Shipping Damage
306,106684,20240425,2024-04-25,1160,1128,1,6,656.11,Defect
307,35422,20230319,2023-03-19,415,1136,5,3,252.83,Customer Cancellation
308,8361,20230916,2023-09-16,788,1175,9,58,3035.14,Shipping Damage
309,118339,20231113,2023-11-13,584,1018,9,26,18206.14,Defect
310,48061,20231025,2023-10-25,143,1121,2,4,348.88,Defect
311,38611,20230506,2023-05-06,832,1103,9,20,24326.29,Wrong Configuration
312,28603,20240305,2024-03-05,127,1027,10,23,13295.91,Customer Cancellation
313,111987,20240816,2024-08-16,1158,1169,6,37,2567.11,Customer Cancellation
314,31347,20230913,2023-09-13,742,1164,5,2,89.43,Wrong Configuration
315,32557,20250112,2025-01-12,649,1193,4,31,6296.34,Defect
316,13046,20240206,2024-02-06,446,1047,2,19,6113.62,Wrong Configuration
317,105684,20230826,2023-08-26,1164,1113,6,1,1511.42,Shipping Damage
318,72174,20230916,2023-09-16,980,1079,8,12,1890.92,Other
319,10494,20231116,2023-11-16,728,1124,8,7,482.91,Defect
320,23098,20251010,2025-10-10,856,1125,5,5,546.76,Defect
321,14493,20230411,2023-04-11,404,1095,4,1,882.04,Shipping Damage
322,110606,20220808,2022-08-08,1058,1012,1,1,993.85,Wrong Configuration
323,115291,20250129,2025-01-29,613,1053,1,24,9089.19,Defect
324,41366,20250722,2025-07-22,1118,1095,1,3,2528.09,Defect
325,107602,20250525,2025-05-25,684,1111,1,25,36709.6,Defect
326,80447,20221102,2022-11-02,256,1137,6,2,141.6,Customer Cancellation
327,60178,20240925,2024-09-25,787,1086,9,2,1459.39,Shipping Damage
328,61632,20220321,2022-03-21,548,1085,8,7,4310.63,Other
329,14558,20220429,2022-04-29,639,1024,1,8,3963.61,Wrong Configuration
330,112214,20220907,2022-09-07,13,1148,1,6,3864.53,Wrong Configuration
331,23894,20240303,2024-03-03,979,1074,1,18,2926.69,Customer Cancellation
332,71674,20240409,2024-04-09,733,1071,8,1,174.0,Customer Cancellation
333,72885,20251125,2025-11-25,924,1053,1,7,3352.9,Defect
334,32567,20231203,2023-12-03,85,1090,1,21,13878.89,Customer Cancellation
335,44996,20251223,2025-12-23,293,1171,6,2,92.41,Defect
336,90340,20251105,2025-11-05,387,1061,8,11,2803.84,Customer Cancellation
337,112888,20250204,2025-02-04,841,1110,6,1,1344.55,Wrong Configuration
338,28090,20221108,2022-11-08,271,1106,4,6,7066.3,Customer Cancellation
339,119888,20250831,2025-08-31,360,1123,1,19,1511.6,Defect
340,103556,20230219,2023-02-19,405,1021,4,1,480.18,Defect
341,114265,20251128,2025-11-28,1102,1127,2,3,206.99,Shipping Damage
342,52711,20250404,2025-04-04,1032,1121,6,10,938.22,Defect
343,115952,20230525,2023-05-25,1006,1029,1,1,626.43,Other
344,9544,20240917,2024-09-17,426,1067,1,5,895.05,Defect
345,22536,20250430,2025-04-30,350,1038,6,6,2857.99,Defect
346,105307,20240528,2024-05-28,784,1031,6,1,809.81,Customer Cancellation
347,98096,20251223,2025-12-23,1041,1109,4,6,10673.27,Customer Cancellation
348,16896,20241124,2024-11-24,576,1014,6,31,30139.39,Shipping Damage
349,78389,20250629,2025-06-29,367,1143,6,1,758.22,Other
350,27337,20240710,2024-07-10,713,1192,4,3,828.9,Defect
351,7821,20230309,2023-03-09,425,1107,5,1,1280.74,Customer Cancellation
352,87645,20240324,2024-03-24,37,1094,3,3,2152.11,Defect
353,50753,20230314,2023-03-14,181,1026,2,2,968.36,Wrong Configuration
354,10468,20241005,2024-10-05,649,1068,4,13,2504.38,Defect
355,78411,20240629,2024-06-29,352,1123,4,1,84.1,Wrong Configuration
356,116114,20230530,2023-05-30,1001,1081,7,1,813.01,Other
357,86552,20230626,2023-06-26,170,1005,9,6,7648.82,Shipping Damage
358,107481,20220109,2022-01-09,662,1086,3,9,5017.62,Customer Cancellation
359,64466,20250711,2025-07-11,1057,1069,4,21,3872.39,Customer Cancellation
360,85992,20231031,2023-10-31,431,1187,1,34,8277.79,Shipping Damage
361,106355,20250317,2025-03-17,343,1073,1,2,269.46,Defect
362,17085,20240802,2024-08-02,157,1122,1,1,85.21,Defect
363,6274,20240305,2024-03-05,192,1030,1,3,1423.31,Wrong Configuration
364,55936,20251230,2025-12-30,1033,1011,5,5,4241.85,Wrong Configuration
365,9376,20250810,2025-08-10,545,1173,6,3,179.77,Defect
366,7135,20251208,2025-12-08,137,1128,4,15,1520.28,Defect
367,29867,20250114,2025-01-14,1128,1064,7,5,730.51,Customer Cancellation
368,11329,20240612,2024-06-12,532,1068,10,5,1103.81,Defect
369,4280,20251230,2025-12-30,68,1143,4,3,2052.49,Wrong Configuration
370,108807,20220404,2022-04-04,956,1038,9,26,10280.25,Other
371,94925,20250419,2025-04-19,826,1172,2,1,63.11,Defect
372,59717,20241204,2024-12-04,1184,1010,7,14,9327.67,Other
373,680,20250315,2025-03-15,1026,1063,4,26,3974.84,Wrong Configuration
374,103505,20250118,2025-01-18,1168,1081,4,8,5772.05,Wrong Configuration
375,20157,20250124,2025-01-24,265,1141,2,7,5099.1,Other
376,22713,20220619,2022-06-19,114,1067,10,3,500.06,Defect
377,12838,20220903,2022-09-03,1143,1113,2,1,1431.54,Defect
378,118046,20241024,2024-10-24,832,1024,9,29,13073.18,Defect
379,48872,20230706,2023-07-06,1039,1080,9,28,23336.98,Defect
380,98379,20250825,2025-08-25,410,1074,6,8,1360.37,Defect
381,36069,20250311,2025-03-11,610,1023,3,1,642.76,Wrong Configuration
382,96936,20241001,2024-10-01,612,1057,1,36,16072.39,Wrong Configuration
383,9038,20240329,2024-03-29,1039,1017,9,44,38128.83,Customer Cancellation
