activity_id,date_id,activity_date,customer_id,sales_rep_id,activity_type,activity_minutes,sentiment_score,customer_health_score,customer_health_band
125,20231117,2023-11-17,684,50,Demo,31,0.394,64.5,Neutral
126,20251110,2025-11-10,979,27,Email,32,0.395,71.3,Neutral
127,20240527,2024-05-27,409,35,Email,15,-0.504,55.9,Neutral
128,20220214,2022-02-14,769,79,Call,38,0.847,71.7,Neutral
129,20220513,2022-05-13,834,37,Visit,58,1.0,70.0,Neutral
130,20230912,2023-09-12,382,7,Demo,16,0.144,73.5,Neutral
131,20231222,2023-12-22,307,64,Business Review,62,1.0,76.4,Healthy
132,20241024,2024-10-24,176,53,Call,16,-0.047,69.4,Neutral
133,20240622,2024-06-22,11,6,Email,19,-0.674,55.6,Neutral
134,20240307,2024-03-07,357,1,Email,8,-0.068,80.1,Healthy
135,20210909,2021-09-09,1070,40,Call,68,0.117,62.6,Neutral
136,20220930,2022-09-30,594,3,Training,19,1.0,78.9,Healthy
137,20210220,2021-02-20,1128,56,Email,57,-0.054,64.6,Neutral
138,20250615,2025-06-15,162,72,Email,52,-0.634,52.1,Neutral
139,20240908,2024-09-08,622,25,Email,34,-0.17,58.5,Neutral
140,20250729,2025-07-29,253,44,Call,66,0.564,62.3,Neutral
141,20240809,2024-08-09,929,62,Call,37,0.38,65.3,Neutral
142,20240616,2024-06-16,210,3,Email,31,-0.068,62.0,Neutral
143,20240610,2024-06-10,684,64,Email,45,0.755,73.2,Neutral
144,20230209,2023-02-09,928,80,Call,39,0.145,63.8,Neutral
145,20220630,2022-06-30,805,63,Call,7,0.799,67.6,Neutral
146,20220523,2022-05-23,618,65,Visit,5,-1.0,35.1,At Risk
147,20250118,2025-01-18,338,58,Email,9,0.065,79.9,Healthy
148,20240408,2024-04-08,88,41,Email,47,1.0,75.9,Healthy
149,20241010,2024-10-10,870,14,Email,20,-0.597,69.6,Neutral
150,20220828,2022-08-28,268,9,Demo,60,0.063,72.4,Neutral
151,20250806,2025-08-06,921,61,Visit,42,-0.297,54.6,Neutral
152,20241014,2024-10-14,482,41,Visit,47,-0.199,63.4,Neutral
153,20241010,2024-10-10,1039,81,Email,43,0.272,67.7,Neutral
154,20241219,2024-12-19,446,28,Call,31,0.053,60.4,Neutral
155,20251227,2025-12-27,585,45,Call,29,1.0,67.8,Neutral
156,20230518,2023-05-18,563,59,Call,29,0.263,70.2,Neutral
157,20220223,2022-02-23,182,21,Email,31,0.306,74.4,Neutral
158,20220604,2022-06-04,360,42,Email,7,-0.333,62.6,Neutral
159,20250115,2025-01-15,164,85,Call,50,0.025,67.8,Neutral
160,20240315,2024-03-15,901,2,Email,25,0.746,78.1,Healthy
161,20240307,2024-03-07,1139,51,Training,5,-0.499,63.9,Neutral
162,20250106,2025-01-06,1166,72,Call,46,-0.673,58.7,Neutral
163,20231010,2023-10-10,138,66,Business Review,49,0.342,54.5,Neutral
164,20220414,2022-04-14,684,50,Email,41,0.658,50.7,Neutral
165,20230928,2023-09-28,474,39,Call,5,-0.328,48.0,At Risk
166,20230514,2023-05-14,772,31,Training,71,-0.007,66.2,Neutral
167,20250916,2025-09-16,722,2,Visit,33,0.018,72.1,Neutral
168,20240719,2024-07-19,1081,30,Email,61,0.94,75.7,Healthy
169,20210605,2021-06-05,925,23,Visit,5,0.345,69.5,Neutral
170,20240829,2024-08-29,1057,63,Email,74,-0.139,48.6,At Risk
171,20221206,2022-12-06,202,49,Training,13,-0.264,60.3,Neutral
172,20220124,2022-01-24,591,44,Call,35,0.112,65.2,Neutral
173,20220723,2022-07-23,258,17,Training,36,0.629,74.0,Neutral
174,20210907,2021-09-07,650,75,Email,44,0.335,59.1,Neutral
175,20240122,2024-01-22,837,63,Email,42,0.222,74.0,Neutral
176,20220424,2022-04-24,1079,65,Email,28,-0.51,50.7,Neutral
177,20230220,2023-02-20,761,37,Visit,11,-0.708,54.2,Neutral
178,20250302,2025-03-02,272,82,Call,5,0.574,66.0,Neutral
179,20221115,2022-11-15,98,52,Email,22,1.0,86.5,Healthy
180,20240517,2024-05-17,676,29,Email,48,-0.252,68.4,Neutral
181,20220416,2022-04-16,927,79,Email,23,0.543,68.0,Neutral
182,20240806,2024-08-06,704,50,Training,38,0.23,64.2,Neutral
183,20241008,2024-10-08,264,71,Training,28,0.109,78.0,Healthy
184,20240818,2024-08-18,810,80,Call,44,-0.349,52.2,Neutral
185,20230917,2023-09-17,230,81,Email,54,0.012,74.7,Neutral
186,20250314,2025-03-14,678,32,Call,12,0.51,81.3,Healthy
187,20231207,2023-12-07,723,44,Call,58,0.74,75.9,Healthy
188,20250309,2025-03-09,898,38,Demo,44,-1.0,55.0,Neutral
189,20230718,2023-07-18,1115,12,Call,48,-0.048,59.1,Neutral
190,20230821,2023-08-21,1016,66,Visit,38,0.176,75.2,Healthy
191,20251121,2025-11-21,1030,74,Visit,25,1.0,86.0,Healthy
192,20240911,2024-09-11,538,20,Visit,33,0.19,71.0,Neutral
193,20230407,2023-04-07,205,29,Visit,40,1.0,87.1,Healthy
194,20241222,2024-12-22,897,61,Demo,41,0.507,77.5,Healthy
195,20220809,2022-08-09,445,33,Email,34,-0.129,71.8,Neutral
196,20240129,2024-01-29,676,40,Call,95,0.408,70.1,Neutral
197,20250518,2025-05-18,932,53,Call,9,0.496,81.9,Healthy
198,20250315,2025-03-15,1158,80,Demo,31,0.638,81.3,Healthy
199,20250913,2025-09-13,904,41,Visit,49,-0.058,57.4,Neutral
200,20250201,2025-02-01,277,50,Call,32,0.259,72.7,Neutral
201,20210502,2021-05-02,1087,34,Visit,15,0.272,70.0,Neutral
202,20240326,2024-03-26,304,15,Email,63,0.128,65.1,Neutral
203,20240308,2024-03-08,707,61,Email,12,0.544,73.0,Neutral
204,20240807,2024-08-07,795,41,Email,42,-0.669,53.7,Neutral
205,20240620,2024-06-20,851,12,Call,46,-0.596,53.0,Neutral
206,20241011,2024-10-11,950,58,Call,63,-0.793,50.7,Neutral
207,20250713,2025-07-13,219,53,Call,29,0.492,76.3,Healthy
208,20240425,2024-04-25,154,50,Demo,39,-0.711,58.4,Neutral
209,20250430,2025-04-30,37,16,Demo,14,-0.722,51.0,Neutral
210,20210507,2021-05-07,650,68,Email,18,0.466,74.0,Neutral
211,20231229,2023-12-29,1176,75,Training,47,0.453,75.4,Healthy
212,20251214,2025-12-14,564,54,Call,19,-0.129,54.7,Neutral
213,20250228,2025-02-28,92,7,Training,79,0.509,76.7,Healthy
214,20230715,2023-07-15,239,79,Call,84,-0.096,46.8,At Risk
215,20250418,2025-04-18,913,47,Email,63,0.607,80.7,Healthy
216,20230506,2023-05-06,145,33,Visit,21,-0.336,59.6,Neutral
217,20240202,2024-02-02,1074,76,Demo,66,0.588,65.5,Neutral
218,20221030,2022-10-30,598,11,Email,61,0.145,63.9,Neutral
219,20240122,2024-01-22,599,61,Call,22,0.039,67.4,Neutral
220,20240704,2024-07-04,812,6,Call,53,0.879,84.7,Healthy
221,20220805,2022-08-05,765,12,Email,26,0.229,69.5,Neutral
222,20240803,2024-08-03,351,22,Business Review,23,1.0,76.3,Healthy
223,20250223,2025-02-23,480,53,Call,51,-0.586,63.0,Neutral
224,20230825,2023-08-25,155,49,Email,37,-0.585,47.7,At Risk
225,20250214,2025-02-14,684,2,Call,32,0.668,79.7,Healthy
226,20250718,2025-07-18,363,72,Demo,37,1.0,82.1,Healthy
227,20250508,2025-05-08,136,61,Demo,54,0.34,66.0,Neutral
228,20240611,2024-06-11,18,64,Email,48,0.234,81.6,Healthy
229,20240713,2024-07-13,676,58,Email,49,-0.43,71.8,Neutral
230,20231108,2023-11-08,675,42,Demo,35,0.32,73.4,Neutral
231,20250625,2025-06-25,129,23,Visit,20,-0.315,48.8,At Risk
232,20241206,2024-12-06,36,8,Visit,54,0.679,80.6,Healthy
233,20220103,2022-01-03,395,53,Email,55,-0.002,66.6,Neutral
234,20220825,2022-08-25,258,18,Email,8,0.611,64.5,Neutral
235,20220302,2022-03-02,981,71,Email,22,-1.0,46.3,At Risk
236,20240513,2024-05-13,219,53,Email,29,-0.537,54.9,Neutral
237,20250714,2025-07-14,899,85,Email,35,-0.742,64.6,Neutral
238,20241213,2024-12-13,626,80,Call,35,0.112,63.4,Neutral
239,20240211,2024-02-11,143,12,Training,71,0.537,88.9,Healthy
240,20240213,2024-02-13,230,81,Email,35,0.17,69.3,Neutral
241,20220727,2022-07-27,660,65,Business Review,65,0.12,77.5,Healthy
242,20240109,2024-01-09,684,69,Training,32,-1.0,42.1,At Risk
243,20250610,2025-06-10,1081,38,Call,45,-0.318,59.5,Neutral
244,20250505,2025-05-05,513,58,Email,27,0.494,82.8,Healthy
245,20240614,2024-06-14,849,65,Call,12,-0.891,40.2,At Risk
246,20230318,2023-03-18,130,67,Call,14,0.529,66.8,Neutral
247,20211019,2021-10-19,1195,33,Email,47,-0.401,56.4,Neutral
248,20240920,2024-09-20,684,42,Call,40,0.96,90.6,Healthy
249,20240318,2024-03-18,601,85,Business Review,31,-0.71,49.9,At Risk
250,20250810,2025-08-10,407,66,Call,57,0.724,61.2,Neutral
251,20250311,2025-03-11,1045,36,Call,66,-0.568,60.1,Neutral
252,20250710,2025-07-10,229,81,Training,44,0.261,64.7,Neutral
253,20230209,2023-02-09,2,68,Call,5,-0.886,46.7,At Risk
254,20240920,2024-09-20,966,36,Demo,48,-0.493,51.1,Neutral
255,20210805,2021-08-05,117,34,Demo,19,0.247,66.1,Neutral
256,20221201,2022-12-01,502,16,Call,44,-0.414,67.5,Neutral
257,20250526,2025-05-26,58,28,Call,12,-0.208,69.4,Neutral
258,20250806,2025-08-06,1083,18,Email,46,0.029,69.7,Neutral
259,20240608,2024-06-08,92,7,Email,17,0.064,66.3,Neutral
260,20250426,2025-04-26,218,21,Email,18,0.329,66.8,Neutral
261,20221203,2022-12-03,170,18,Call,34,0.327,78.9,Healthy
262,20230402,2023-04-02,589,82,Email,5,0.249,66.0,Neutral
263,20230307,2023-03-07,766,63,Business Review,23,0.329,67.7,Neutral
264,20241219,2024-12-19,620,52,Call,72,-0.451,57.7,Neutral
265,20240131,2024-01-31,580,47,Email,30,-0.217,53.1,Neutral
266,20211030,2021-10-30,1134,81,Business Review,45,0.31,63.8,Neutral
267,20231129,2023-11-29,663,56,Visit,40,-0.545,36.5,At Risk
268,20250730,2025-07-30,487,27,Call,52,0.49,74.6,Neutral
269,20250119,2025-01-19,1017,37,Call,35,-0.734,67.4,Neutral
270,20250310,2025-03-10,761,53,Call,57,1.0,93.3,Healthy
271,20211012,2021-10-12,171,37,Email,44,0.756,90.8,Healthy
272,20251115,2025-11-15,15,75,Email,23,1.0,88.9,Healthy
273,20240707,2024-07-07,758,15,Call,14,1.0,81.6,Healthy
274,20211112,2021-11-12,867,42,Business Review,39,0.784,78.8,Healthy
275,20240212,2024-02-12,907,9,Call,40,0.483,74.9,Neutral
276,20250618,2025-06-18,725,27,Email,16,0.708,83.1,Healthy
277,20240312,2024-03-12,514,13,Visit,50,1.0,89.1,Healthy
278,20241205,2024-12-05,475,53,Call,58,0.077,61.1,Neutral
279,20220715,2022-07-15,567,16,Call,62,0.068,80.1,Healthy
280,20230605,2023-06-05,613,69,Email,27,0.371,77.6,Healthy
281,20250627,2025-06-27,569,64,Email,59,-0.488,55.3,Neutral
282,20221017,2022-10-17,181,12,Call,60,-0.111,85.1,Healthy
283,20250215,2025-02-15,1079,44,Call,5,-0.004,67.6,Neutral
284,20210214,2021-02-14,695,37,Email,5,-0.659,40.7,At Risk
285,20231130,2023-11-30,888,75,Email,16,0.296,58.0,Neutral
286,20240121,2024-01-21,1017,34,Email,56,0.05,75.1,Healthy
287,20240126,2024-01-26,684,64,Call,37,0.47,65.8,Neutral
288,20231113,2023-11-13,460,25,Call,60,0.246,73.3,Neutral
289,20240715,2024-07-15,417,75,Training,22,0.216,70.3,Neutral
290,20250506,2025-05-06,475,2,Call,45,-0.66,63.4,Neutral
291,20220505,2022-05-05,1194,58,Business Review,8,-0.309,66.5,Neutral
292,20250321,2025-03-21,409,63,Call,46,0.233,67.9,Neutral
293,20210612,2021-06-12,814,74,Visit,44,0.277,84.2,Healthy
294,20241218,2024-12-18,139,70,Email,43,0.229,73.9,Neutral
295,20241001,2024-10-01,485,53,Visit,38,0.421,79.2,Healthy
296,20220723,2022-07-23,1191,41,Visit,27,0.757,96.2,Healthy
297,20230525,2023-05-25,565,19,Email,20,0.608,75.1,Healthy
298,20250817,2025-08-17,765,45,Call,49,0.011,62.7,Neutral
299,20251010,2025-10-10,184,44,Email,30,0.189,69.0,Neutral
300,20240426,2024-04-26,684,2,Training,53,0.185,69.0,Neutral
301,20251026,2025-10-26,576,75,Demo,61,0.393,72.1,Neutral
302,20240319,2024-03-19,269,75,Call,45,0.704,92.9,Healthy
303,20230728,2023-07-28,1173,80,Email,71,1.0,91.8,Healthy
304,20230103,2023-01-03,120,26,Email,5,-0.376,64.3,Neutral
305,20231217,2023-12-17,174,47,Email,50,-0.294,68.1,Neutral
306,20250417,2025-04-17,684,64,Call,46,-0.563,55.7,Neutral
307,20220901,2022-09-01,684,34,Call,71,-0.539,65.1,Neutral
308,20211203,2021-12-03,316,56,Call,5,-0.074,55.7,Neutral
309,20240509,2024-05-09,994,47,Visit,10,-0.232,47.3,At Risk
310,20240113,2024-01-13,61,51,Demo,28,0.656,75.2,Healthy
311,20221220,2022-12-20,576,80,Call,30,0.106,71.4,Neutral
312,20240911,2024-09-11,205,79,Call,26,-0.64,54.7,Neutral
313,20220903,2022-09-03,1034,65,Visit,27,0.043,64.8,Neutral
314,20240612,2024-06-12,321,70,Call,36,0.135,68.1,Neutral
315,20230614,2023-06-14,946,21,Email,54,0.071,68.5,Neutral
316,20250504,2025-05-04,758,74,Email,45,0.632,78.9,Healthy
317,20250716,2025-07-16,896,44,Email,27,-0.542,52.2,Neutral
318,20230221,2023-02-21,833,6,Call,17,-0.165,71.2,Neutral
319,20231128,2023-11-28,339,53,Visit,37,-0.29,67.3,Neutral
320,20231102,2023-11-02,191,81,Call,32,0.626,68.4,Neutral
321,20231208,2023-12-08,905,34,Call,30,-0.081,63.9,Neutral
322,20220816,2022-08-16,400,52,Visit,24,0.1,83.2,Healthy
323,20251018,2025-10-18,321,68,Call,43,0.231,73.5,Neutral
324,20241220,2024-12-20,338,58,Call,35,-0.256,52.5,Neutral
325,20230413,2023-04-13,20,76,Email,22,0.307,52.6,Neutral
326,20240919,2024-09-19,684,42,Call,32,-0.291,61.3,Neutral
327,20250426,2025-04-26,684,69,Call,43,-0.398,52.0,Neutral
328,20251124,2025-11-24,465,46,Email,63,0.017,71.5,Neutral
329,20250819,2025-08-19,1066,14,Email,39,0.213,58.6,Neutral
330,20210726,2021-07-26,294,69,Demo,21,0.377,69.4,Neutral
331,20241213,2024-12-13,877,53,Visit,7,0.583,71.9,Neutral
332,20231007,2023-10-07,169,62,Demo,60,-0.13,71.0,Neutral
333,20240726,2024-07-26,983,21,Call,28,-0.316,53.4,Neutral
334,20230216,2023-02-16,152,24,Email,14,0.45,65.9,Neutral
335,20220418,2022-04-18,125,8,Visit,45,0.405,73.9,Neutral
336,20251123,2025-11-23,104,21,Call,48,0.324,67.0,Neutral
337,20241015,2024-10-15,946,6,Demo,51,-0.041,67.1,Neutral
338,20230622,2023-06-22,309,37,Call,5,0.835,76.4,Healthy
339,20240503,2024-05-03,251,27,Email,23,0.201,64.6,Neutral
340,20240921,2024-09-21,758,54,Business Review,36,-0.361,59.7,Neutral
341,20210407,2021-04-07,545,75,Call,38,0.055,55.5,Neutral
342,20230404,2023-04-04,954,14,Call,73,-0.025,66.3,Neutral
343,20221006,2022-10-06,405,66,Call,24,0.177,73.1,Neutral
344,20230111,2023-01-11,953,6,Email,23,0.246,68.5,Neutral
345,20240326,2024-03-26,627,20,Demo,62,0.229,56.6,Neutral
346,20240317,2024-03-17,228,72,Visit,33,0.101,66.8,Neutral
347,20230726,2023-07-26,704,64,Call,63,0.455,73.1,Neutral
348,20211031,2021-10-31,932,42,Call,46,0.317,60.1,Neutral
349,20230614,2023-06-14,192,69,Demo,47,1.0,84.8,Healthy
350,20251110,2025-11-10,58,23,Training,25,-0.259,63.8,Neutral
351,20231026,2023-10-26,194,80,Email,24,-0.432,64.9,Neutral
352,20221117,2022-11-17,1128,1,Visit,5,0.345,89.1,Healthy
353,20250606,2025-06-06,1025,75,Call,7,-0.025,60.2,Neutral
354,20251014,2025-10-14,167,61,Visit,17,0.263,63.8,Neutral
355,20250602,2025-06-02,314,34,Email,41,0.638,79.7,Healthy
356,20220607,2022-06-07,506,44,Demo,41,0.394,58.9,Neutral
357,20220517,2022-05-17,558,27,Email,60,0.796,74.6,Neutral
358,20230318,2023-03-18,988,35,Call,68,-0.254,57.1,Neutral
359,20220503,2022-05-03,687,50,Call,32,0.056,57.5,Neutral
360,20240902,2024-09-02,311,62,Call,5,0.683,70.2,Neutral
361,20230706,2023-07-06,41,80,Email,29,1.0,81.3,Healthy
362,20250206,2025-02-06,238,66,Call,43,-0.454,61.1,Neutral
363,20220411,2022-04-11,138,35,Call,59,0.263,67.6,Neutral
364,20240727,2024-07-27,430,64,Call,30,-1.0,46.0,At Risk
365,20231001,2023-10-01,1010,69,Email,52,0.247,67.5,Neutral
366,20231010,2023-10-10,643,7,Call,43,0.181,75.1,Healthy
367,20241204,2024-12-04,4,75,Email,28,-0.518,57.1,Neutral
368,20221219,2022-12-19,18,37,Call,21,-0.097,65.0,Neutral
369,20230327,2023-03-27,480,64,Email,40,0.204,68.6,Neutral
370,20230608,2023-06-08,783,17,Email,22,-0.758,52.0,Neutral
371,20251012,2025-10-12,219,64,Training,71,1.0,83.9,Healthy
372,20230709,2023-07-09,723,79,Visit,18,0.078,69.0,Neutral
373,20251117,2025-11-17,20,65,Call,5,0.228,65.3,Neutral
374,20251231,2025-12-31,1056,22,Email,14,-0.371,57.5,Neutral
375,20220912,2022-09-12,815,14,Call,16,0.117,64.9,Neutral
376,20220911,2022-09-11,1070,58,Visit,62,-0.115,55.1,Neutral
377,20210107,2021-01-07,34,78,Email,18,-0.431,78.1,Healthy
378,20251209,2025-12-09,363,3,Call,62,0.199,69.3,Neutral
379,20251127,2025-11-27,789,30,Call,58,0.943,76.6,Healthy
380,20220513,2022-05-13,1184,32,Email,5,0.45,74.5,Neutral
381,20240808,2024-08-08,702,32,Call,33,-0.347,65.7,Neutral
382,20210903,2021-09-03,563,25,Call,6,0.305,94.0,Healthy
383,20220508,2022-05-08,765,23,Call,26,-0.092,68.0,Neutral
384,20240104,2024-01-04,1047,8,Call,5,0.117,52.9,Neutral
385,20251116,2025-11-16,580,24,Business Review,34,-0.735,57.1,Neutral
386,20221120,2022-11-20,1033,40,Email,41,0.413,55.6,Neutral
387,20240612,2024-06-12,950,79,Email,29,-0.277,51.3,Neutral
