alert_queue_rank,product_id,year_month,region_id,region,target_month,next_month_risk_label,split,split_row_number,model_scope,actual_risk_label_num,actual_risk_label,predicted_risk_label_num,predicted_risk_label,prob_low_risk,prob_medium_risk,high_risk_probability,high_risk_probability_pct,risk_score,risk_score_0_10,selected_high_risk_threshold,is_any_risk_alert,is_high_risk_alert,is_false_alarm,is_missed_high_risk,product_line,product_category,product_name,lifecycle_stage,units_sold,revenue,unique_customers,avg_discount_pct,market_demand_index,competitor_pressure_index,stockout_flag,backorder_units,campaign_flag,website_visits,demo_requests,estimated_gross_profit,estimated_gross_margin_pct,product_unit_share_category_region,unit_share_change_pct,risk_factor_under_trend,risk_factor_volatility,risk_factor_sales_drop,risk_factor_customer_drop,supply_pressure_score,customer_count_growth_pct,market_tailwind_score,high_competition_flag,margin_gap_vs_target,campaign_active_with_no_sales,commercial_pressure_score,demand_supply_mismatch_flag,revenue_at_risk_proxy,model_explained_class,model_explained_class_probability,model_explained_class_base_probability,model_high_risk_base_probability,model_driver_1,model_driver_1_contribution_pp,model_driver_1_direction,model_driver_2,model_driver_2_contribution_pp,model_driver_2_direction,model_driver_3,model_driver_3_contribution_pp,model_driver_3_direction,model_driver_4,model_driver_4_contribution_pp,model_driver_4_direction,model_driver_5,model_driver_5_contribution_pp,model_driver_5_direction,business_risk_indicators,risk_drivers,recommended_action,business_indicator_count,monitoring_priority,review_rank_within_split
11,1103,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1037,refit_model_current_scoring,,,2,High Risk,0.06109319700507643,0.09249120351329475,0.8464155994816293,84.64155994816292,84.6,8.926612012382767,0.39,1,1,,,Accessories,Industrial Scanner,Industrial Scanner Model 04,Decline,43.0,70783.84,1.0,0.068,,,0,0.0,False,340,10,22460.01,0.3173042038973868,0.0639880952380952,,0,0,0,0,10.0,,10.0,,-0.0226957961026132,0,2.0,,1415.6768,High Risk,0.8464155994816293,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.432814233821555,increases predicted class probability,Rolling Units Mean 3M,5.09440095363089,increases predicted class probability,Rolling Revenue Mean 3M,4.8401616457719925,increases predicted class probability,Rolling Units Std 3M,4.054989295495355,increases predicted class probability,Customers Lag 1M,3.60836181301502,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,11
12,1049,2025-12-01,10,Northern EU,2026-01-01,,scoring,491,refit_model_current_scoring,,,2,High Risk,0.060050984202324124,0.11463094997376347,0.8253180658239124,82.53180658239124,82.5,8.82633540810794,0.39,1,1,,,IT,Tablet Enterprise,Tablet Enterprise Model 10,Mature,42.0,20344.43,1.0,0.215,,,0,0.0,False,277,1,3639.77,0.1789074454285522,0.0403458213256484,,0,0,0,0,10.0,,10.0,,-0.0910925545714478,0,2.0,,406.8886,High Risk,0.8253180658239124,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.606284708134189,increases predicted class probability,Rolling Units Mean 3M,4.935935039445772,increases predicted class probability,Rolling Revenue Mean 3M,4.85200849203218,increases predicted class probability,Rolling Units Std 3M,4.40664725578143,increases predicted class probability,Customers Lag 1M,3.687989366848969,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,12
13,1048,2025-12-01,5,Northern EU,2026-01-01,,scoring,485,refit_model_current_scoring,,,2,High Risk,0.06723042455854449,0.1194031687612611,0.8133664066801944,81.33664066801944,81.3,8.73067991060825,0.39,1,1,,,IT,Tablet Enterprise,Tablet Enterprise Model 09,Decline,100.0,32455.02,2.0,0.2415,,,0,0.0,False,298,1,2609.020000000004,0.080388796555972,0.0521920668058455,,0,0,0,0,10.0,,10.0,,-0.189611203444028,0,2.0,,649.1004,High Risk,0.8133664066801944,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.8782684373216725,increases predicted class probability,Rolling Units Mean 3M,5.409674861586314,increases predicted class probability,Rolling Revenue Mean 3M,4.942035892471248,increases predicted class probability,Rolling Units Std 3M,4.346864846660966,increases predicted class probability,Customers Lag 1M,3.7479176965630217,increases predicted class probability,Supply pressure; Margin below target,Supply pressure; Margin below target,"Review stock, replenishment, and supplier lead times immediately",2,1,13
14,1024,2025-12-01,7,Eastern EU,2026-01-01,,scoring,247,refit_model_current_scoring,,,2,High Risk,0.08590363899663456,0.10127032740008317,0.8128260336032821,81.28260336032821,81.3,8.634611973033236,0.39,1,1,,,IT,Laptop Standard,Laptop Standard Model 05,Growth,31.0,14918.91,1.0,0.14,,,0,0.0,False,226,4,2322.370000000001,0.1556661981337779,0.0353477765108323,,0,0,0,0,10.0,,10.0,,-0.084333801866222,0,2.0,,298.3782,High Risk,0.8128260336032821,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.969449018945819,increases predicted class probability,Rolling Units Mean 3M,5.025793995548936,increases predicted class probability,Rolling Revenue Mean 3M,4.87430724322349,increases predicted class probability,Rolling Units Std 3M,4.405091323924581,increases predicted class probability,Unit Share Lag 1M,3.489091592921005,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,14
15,1167,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1677,refit_model_current_scoring,,,2,High Risk,0.07360915574188244,0.12049868717972913,0.8058921570783888,80.58921570783887,80.6,8.661415006682534,0.39,1,1,,,Accessories,Accessory Kit,Accessory Kit Model 08,Decline,44.0,2776.36,1.0,0.219,160.35,58.9,0,0.0,False,225,2,211.1600000000003,0.0760564191963579,0.0417457305502846,,0,0,0,0,7.890000000000001,,27.2255,0.0,-0.143943580803642,0,1.5780000000000003,0.0,43.81096080000001,High Risk,0.8058921570783888,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.609216781517524,increases predicted class probability,Rolling Units Mean 3M,5.184875180304098,increases predicted class probability,Rolling Revenue Mean 3M,5.149546519599343,increases predicted class probability,Rolling Units Std 3M,4.404955054926862,increases predicted class probability,Customers Lag 1M,3.6316474692759706,increases predicted class probability,Supply pressure; Margin below target,Supply pressure; Margin below target,"Review stock, replenishment, and supplier lead times immediately",2,1,15
16,1136,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1367,refit_model_current_scoring,,,2,High Risk,0.08461952477143361,0.11452040034168445,0.800860074886882,80.08600748868821,80.1,8.581202750577242,0.39,1,1,,,Accessories,Connectivity Module,Connectivity Module Model 17,Mature,43.0,3235.79,1.0,0.161,,,0,0.0,False,224,1,965.39,0.2983475441855002,0.0541561712846347,,0,0,0,0,10.0,,10.0,,-0.0116524558144997,0,2.0,,64.7158,High Risk,0.800860074886882,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.435278246687472,increases predicted class probability,Rolling Revenue Mean 3M,5.385780160908415,increases predicted class probability,Rolling Units Mean 3M,5.1786294134674105,increases predicted class probability,Rolling Units Std 3M,4.5209105298334435,increases predicted class probability,Customers Lag 1M,3.5806076201189945,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,16
17,1119,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1197,refit_model_current_scoring,,,2,High Risk,0.08155793592177493,0.12012874441974106,0.7983133196584842,79.83133196584842,79.8,8.583776918683547,0.39,1,1,,,Accessories,Industrial Scanner,Industrial Scanner Model 20,Growth,40.0,54543.6,1.0,0.147,,,0,0.0,False,344,4,23378.4,0.428618573031483,0.0595238095238095,,0,0,0,0,10.0,,10.0,,0.088618573031483,0,2.0,,1090.872,High Risk,0.7983133196584842,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.7392184111006195,increases predicted class probability,Rolling Revenue Mean 3M,5.5281228255162,increases predicted class probability,Rolling Units Mean 3M,5.466741517689105,increases predicted class probability,Rolling Units Std 3M,4.661126014035235,increases predicted class probability,Customers Lag 1M,3.7047894637187535,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,17
18,1022,2025-12-01,2,Western EU,2026-01-01,,scoring,222,refit_model_current_scoring,,,2,High Risk,0.07794118255977267,0.12560084402053798,0.7964579734196893,79.64579734196893,79.6,8.592583954299583,0.39,1,1,,,IT,Laptop Standard,Laptop Standard Model 03,Mature,68.0,47039.72,4.0,0.05875,,,0,0.0,True,1922,26,13452.480000000003,0.2859812941063425,0.045822102425876,,0,0,0,0,10.0,,10.0,,0.0459812941063425,0,2.0,,940.7944,High Risk,0.7964579734196893,0.3333333333333305,0.3333333333333305,Rolling Units Mean 3M,5.94208315525768,increases predicted class probability,Rolling Revenue Std 3M,5.746202708300509,increases predicted class probability,Rolling Revenue Mean 3M,5.2032624285079345,increases predicted class probability,Rolling Units Std 3M,4.741403401342391,increases predicted class probability,Customers Lag 1M,3.755777147216998,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,18
19,1031,2025-12-01,7,Eastern EU,2026-01-01,,scoring,317,refit_model_current_scoring,,,2,High Risk,0.061098400536056724,0.1462160447460631,0.7926855547178807,79.26855547178808,79.3,8.657935770909122,0.39,1,1,,,IT,Laptop Standard,Laptop Standard Model 12,Mature,98.0,65028.19,1.0,0.178,,,0,0.0,False,319,1,13488.030000000006,0.2074181981691326,0.1117445838084378,,0,0,0,0,10.0,,10.0,,-0.0325818018308673,0,2.0,,1300.5638,High Risk,0.7926855547178807,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.474728583834435,increases predicted class probability,Rolling Units Mean 3M,5.233084878736535,increases predicted class probability,Rolling Revenue Mean 3M,4.893117522780676,increases predicted class probability,Rolling Units Std 3M,4.190785225431295,increases predicted class probability,Customers Lag 1M,3.6363743145445784,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,19
20,1189,2025-12-01,9,Western EU,2026-01-01,,scoring,1899,refit_model_current_scoring,,,2,High Risk,0.07461391105813953,0.1354391885375603,0.7899469004043005,78.99469004043004,79.0,8.576664946730807,0.39,1,1,,,Services,Service Contract,Service Contract Model 10,Decline,73.0,16993.97,2.0,0.078,180.0,54.35,0,0.0,False,226,2,10864.89,0.639337953403472,0.0808416389811738,,0,0,0,0,8.14,,48.56100000000001,0.0,0.0193379534034719,0,1.628,0.0,276.6618316,High Risk,0.7899469004043005,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.649820658380303,increases predicted class probability,Rolling Units Mean 3M,5.433323845687495,increases predicted class probability,Rolling Revenue Mean 3M,5.178272266033988,increases predicted class probability,Rolling Units Std 3M,4.681293039376951,increases predicted class probability,Customers Lag 1M,3.5304508971221478,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,20
21,1195,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1957,refit_model_current_scoring,,,2,High Risk,0.05481987627077802,0.15641426624423185,0.7887658574849903,78.87658574849902,78.9,8.669729906071062,0.39,1,1,,,Services,Service Contract,Service Contract Model 16,Decline,113.0,26864.070000000003,3.0,0.0823333333333333,180.0,63.27,0,0.0,False,288,3,17620.670000000006,0.6559195981844896,0.0513169845594913,,0,0,0,0,8.112,,46.367,0.0,0.0359195981844896,0,1.6224,0.0,435.8426716800001,High Risk,0.7887658574849903,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.500857638946117,increases predicted class probability,Rolling Units Mean 3M,5.1310511335080475,increases predicted class probability,Rolling Revenue Mean 3M,4.973168452676842,increases predicted class probability,Rolling Units Std 3M,4.162522154810079,increases predicted class probability,Customers Lag 1M,3.6817042319552185,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,21
22,1189,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1897,refit_model_current_scoring,,,2,High Risk,0.09138734530687663,0.12735399821162488,0.7812586564814987,78.12586564814987,78.1,8.449356555873111,0.39,1,1,,,Services,Service Contract,Service Contract Model 10,Decline,58.0,12364.02,2.0,0.1435,180.0,63.27,0,0.0,False,288,5,7494.340000000001,0.6061410447411117,0.0263396911898274,,0,0,0,0,8.112,,46.367,0.0,-0.0138589552588882,0,1.6224,0.0,200.59386048,High Risk,0.7812586564814987,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.274047043882227,increases predicted class probability,Rolling Revenue Mean 3M,4.932765900373451,increases predicted class probability,Rolling Units Mean 3M,4.756487032950825,increases predicted class probability,Rolling Units Std 3M,4.2113379723832285,increases predicted class probability,Customers Lag 1M,3.5884670707729707,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,22
23,1027,2025-12-01,10,Northern EU,2026-01-01,,scoring,271,refit_model_current_scoring,,,2,High Risk,0.11025710069763595,0.13298677013743795,0.7567561291649261,75.67561291649261,75.7,8.23249514233645,0.39,1,1,,,IT,Laptop Standard,Laptop Standard Model 08,Decline,22.0,16594.73,1.0,0.044,,,0,0.0,False,213,1,3389.01,0.2042220632694837,0.0250569476082004,,0,0,0,0,10.0,,10.0,,-0.0357779367305162,0,2.0,,331.8946,High Risk,0.7567561291649261,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,6.533463581242273,increases predicted class probability,Rolling Units Mean 3M,5.093047633105643,increases predicted class probability,Rolling Revenue Mean 3M,4.890212601129749,increases predicted class probability,Rolling Units Std 3M,3.695513140366844,increases predicted class probability,Customers Lag 1M,3.658843826224778,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,23
24,1150,2025-12-01,10,Northern EU,2026-01-01,,scoring,1501,refit_model_current_scoring,,,2,High Risk,0.07750707788241865,0.1658394207138329,0.7566535014037485,75.66535014037485,75.7,8.39573211760665,0.39,1,1,,,Services,Legacy Workstation,Legacy Workstation Model 11,Decline,25.0,16397.42,1.0,0.092,,,0,0.0,False,194,0,2474.9199999999983,0.1509335005141051,0.0728862973760933,,0,1,0,0,10.0,,10.0,,-0.0290664994858948,0,2.0,,327.9484,High Risk,0.7566535014037485,0.3333333333333305,0.3333333333333305,Trend Slope 3M,5.703382919880302,increases predicted class probability,Customers Lag 1M,4.729038513213356,increases predicted class probability,Volatility 3M,4.515913129574995,increases predicted class probability,Unit Share Lag 1M,4.441289389526762,increases predicted class probability,Units Lag 1M,4.110134884919663,increases predicted class probability,High sales volatility; Supply pressure,High sales volatility; Supply pressure,"Review stock, replenishment, and supplier lead times immediately",2,1,24
25,1195,2025-12-01,8,Eastern EU,2026-01-01,,scoring,1958,refit_model_current_scoring,,,2,High Risk,0.08213862322695209,0.16712563674138062,0.7507357400316679,75.07357400316678,75.1,8.342985584023582,0.39,1,1,,,Services,Service Contract,Service Contract Model 16,Decline,117.0,27562.390000000003,4.0,0.132,180.0,62.21,0,0.0,False,309,5,17991.79,0.6527659611521351,0.079700272479564,,0,0,0,0,8.072000000000001,,46.989,0.0,0.0327659611521351,0,1.6144000000000005,0.0,444.9672241600001,High Risk,0.7507357400316679,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.771977225048226,increases predicted class probability,Rolling Units Mean 3M,5.597106386159996,increases predicted class probability,Rolling Revenue Mean 3M,5.3518339101642916,increases predicted class probability,Rolling Units Std 3M,4.675374874794026,increases predicted class probability,Customers Lag 1M,3.667308907484839,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,25
26,1143,2025-12-01,5,Northern EU,2026-01-01,,scoring,1435,refit_model_current_scoring,,,2,High Risk,0.10899351938026626,0.14153443746571084,0.749472043154023,74.9472043154023,74.9,8.202392618868785,0.39,1,1,,,Services,Legacy Workstation,Legacy Workstation Model 04,Decline,30.0,17443.15,1.0,0.247,,,0,0.0,False,237,0,-1188.3499999999983,-0.0681270298082627,0.0365408038976857,,0,0,0,0,10.0,,10.0,,-0.2481270298082627,0,2.0,,348.86300000000006,High Risk,0.749472043154023,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,6.211578301700332,increases predicted class probability,Rolling Units Mean 3M,4.801001225585694,increases predicted class probability,Rolling Revenue Mean 3M,4.774247059009025,increases predicted class probability,Rolling Units Std 3M,4.194058604463988,increases predicted class probability,Customers Lag 1M,3.741612454225465,increases predicted class probability,Supply pressure; Margin below target,Supply pressure; Margin below target,"Review stock, replenishment, and supplier lead times immediately",2,1,26
