feature,feature_family,feature_type,timing,missing_rate,engineered_in_this_notebook,leakage_status,included_in_model
click_to_mql_rate,marketing & digital,numeric,current month available at prediction time,0.8167,True,ok,True
crm_demo_like_count,marketing & digital,numeric,current month available at prediction time,0.0,False,ok,True
demo_conversion_rate,marketing & digital,numeric,current month available at prediction time,0.0,True,ok,True
demo_requests,marketing & digital,numeric,current month available at prediction time,0.0,False,ok,True
demo_requests_growth_pct,marketing & digital,numeric,current vs prior / prior-only history,0.1176,True,ok,True
digital_interest_per_unit,marketing & digital,numeric,current month available at prediction time,0.4056,True,ok,True
mql_conversion_rate,marketing & digital,numeric,current month available at prediction time,0.0,True,ok,True
page_view_to_visit_ratio,marketing & digital,numeric,current month available at prediction time,0.0,True,ok,True
product_page_views,marketing & digital,numeric,current month available at prediction time,0.0,False,ok,True
website_visits,marketing & digital,numeric,current month available at prediction time,0.0,False,ok,True
website_visits_growth_pct,marketing & digital,numeric,current vs prior / prior-only history,0.0197,True,ok,True
customer_count_growth_pct,momentum & stability,numeric,current vs prior / prior-only history,0.4213,False,ok,True
is_growth_stage,momentum & stability,binary,current month available at prediction time,0.0,True,ok,True
mom_units_growth_pct,momentum & stability,numeric,current vs prior / prior-only history,0.4213,False,ok,True
product_growth_factor,momentum & stability,numeric,current month available at prediction time,0.0,False,ok,True
revenue_volatility_3m,momentum & stability,numeric,current month available at prediction time,0.1776,True,ok,True
revenue_vs_lag_1m_pct,momentum & stability,numeric,current vs prior / prior-only history,0.4213,True,ok,True
risk_factor_volatility,momentum & stability,binary,current month available at prediction time,0.0,False,ok,True
rolling_revenue_mean_3m,momentum & stability,numeric,current vs prior / prior-only history,0.0395,True,ok,True
rolling_revenue_std_3m,momentum & stability,numeric,current vs prior / prior-only history,0.0395,True,ok,True
rolling_units_cv_6m,momentum & stability,numeric,current vs prior / prior-only history,0.1132,True,ok,True
rolling_units_mean_3m,momentum & stability,numeric,current vs prior / prior-only history,0.0395,False,ok,True
rolling_units_mean_6m,momentum & stability,numeric,current vs prior / prior-only history,0.0592,False,ok,True
rolling_units_std_3m,momentum & stability,numeric,current vs prior / prior-only history,0.0395,False,ok,True
units_acceleration_3m,momentum & stability,numeric,current month available at prediction time,0.079,True,ok,True
units_vs_6m_avg_pct,momentum & stability,numeric,current month available at prediction time,0.1132,True,ok,True
volatility_3m,momentum & stability,numeric,current month available at prediction time,0.1776,False,ok,True
weighted_pipeline_growth_pct,momentum & stability,numeric,current vs prior / prior-only history,0.1887,True,ok,True
category_region_avg_discount,peer benchmark,numeric,current month available at prediction time,0.0114,True,ok,True
category_region_customers,peer benchmark,numeric,current month available at prediction time,0.0,True,ok,True
category_region_product_count,peer benchmark,numeric,current month available at prediction time,0.0,True,ok,True
category_region_revenue,peer benchmark,numeric,current month available at prediction time,0.0,True,ok,True
category_region_units_2,peer benchmark,numeric,current month available at prediction time,0.0,True,ok,True
churn_risk_customer_share,peer benchmark,numeric,current month available at prediction time,0.4056,True,ok,True
churn_risk_customer_share_lag_1m,peer benchmark,numeric,current vs prior / prior-only history,0.4213,True,ok,True
customer_share_category_region,peer benchmark,numeric,current month available at prediction time,0.0112,True,ok,True
discount_vs_category_region,peer benchmark,numeric,current month available at prediction time,0.4078,True,ok,True
product_revenue_share_category_region,peer benchmark,numeric,current month available at prediction time,0.0112,True,ok,True
product_unit_share_category_region,peer benchmark,numeric,current month available at prediction time,0.0112,True,ok,True
revenue_percentile_category_region,peer benchmark,numeric,current month available at prediction time,0.0,True,ok,True
unit_rank_category_region,peer benchmark,numeric,current month available at prediction time,0.0,True,ok,True
unit_share_change_pct,peer benchmark,numeric,current vs prior / prior-only history,0.4228,True,ok,True
unit_share_lag_1m,peer benchmark,numeric,current vs prior / prior-only history,0.0309,True,ok,True
backorder_rate,supply & returns,binary,current month available at prediction time,0.4056,True,ok,True
backorder_units,supply & returns,binary,current month available at prediction time,0.0,False,ok,True
demand_supply_gap,supply & returns,numeric,current month available at prediction time,0.7998,True,ok,True
demand_supply_mismatch_flag,supply & returns,binary,current month available at prediction time,0.7998,True,ok,True
ending_stock_to_sales_ratio,supply & returns,numeric,current month available at prediction time,0.4056,True,ok,True
ending_stock_units,supply & returns,numeric,current month available at prediction time,0.4056,False,ok,True
inventory_months_cover,supply & returns,numeric,current month available at prediction time,0.4686,True,ok,True
inventory_turnover_proxy,supply & returns,numeric,current month available at prediction time,0.4069,True,ok,True
inventory_value_eur,supply & returns,numeric,current month available at prediction time,0.4056,False,ok,True
opening_stock_units,supply & returns,numeric,current month available at prediction time,0.4056,False,ok,True
production_to_sales_ratio,supply & returns,numeric,current month available at prediction time,0.4056,True,ok,True
production_units,supply & returns,numeric,current month available at prediction time,0.4056,False,ok,True
return_count,supply & returns,numeric,current month available at prediction time,0.0,False,ok,True
return_pressure_score,supply & returns,numeric,current month available at prediction time,0.0,True,ok,True
return_rate_change_pct,supply & returns,numeric,current vs prior / prior-only history,0.9774,True,ok,True
return_rate_units,supply & returns,numeric,current month available at prediction time,0.4056,False,ok,True
return_units,supply & returns,numeric,current month available at prediction time,0.0,False,ok,True
return_value_eur,supply & returns,numeric,current month available at prediction time,0.0,False,ok,True
return_value_rate,supply & returns,numeric,current month available at prediction time,0.4056,True,ok,True
stock_change_units,supply & returns,numeric,current month available at prediction time,0.4056,True,ok,True
stockout_flag,supply & returns,binary,current month available at prediction time,0.0,False,ok,True
stockout_with_demand_flag,supply & returns,binary,current month available at prediction time,0.0,True,ok,True
supply_coverage_ratio,supply & returns,numeric,current month available at prediction time,0.4056,False,ok,True
supply_pressure_change_pct,supply & returns,numeric,current vs prior / prior-only history,0.802,True,ok,True
supply_pressure_index,supply & returns,numeric,current month available at prediction time,0.7998,False,ok,True
supply_pressure_score,supply & returns,numeric,current month available at prediction time,0.0,True,ok,True
zero_stock_flag,supply & returns,binary,current month available at prediction time,0.0,False,ok,True
