split,split_row_number,product_id,region_id,year_month,driver_rank,feature,feature_label,explained_class_num,explained_class,explained_class_probability,contribution_to_explained_class_probability,contribution_to_high_risk_probability,contribution_percentage_points,direction
scoring,13,1001,3,2025-12-01,5,lifecycle_stage_num,Lifecycle Stage Num,1,Medium Risk,0.5492248269329303,0.027023674305810066,-0.0005022287552167979,2.7023674305810066,increases predicted class probability
scoring,14,1001,4,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.5016980335140776,0.07713308057566187,-0.01157052565728425,7.713308057566187,increases predicted class probability
scoring,14,1001,4,2025-12-01,2,lifecycle_stage_num,Lifecycle Stage Num,0,Low Risk,0.5016980335140776,-0.027220929747930896,-0.0010577972518717243,-2.7220929747930898,decreases predicted class probability
scoring,14,1001,4,2025-12-01,3,trend_slope_6m,Trend Slope 6M,0,Low Risk,0.5016980335140776,0.021727362855901215,0.001720998615073697,2.1727362855901213,increases predicted class probability
scoring,14,1001,4,2025-12-01,4,unit_share_lag_1m,Unit Share Lag 1M,0,Low Risk,0.5016980335140776,0.02144896543003914,-0.05369624346046508,2.144896543003914,increases predicted class probability
scoring,14,1001,4,2025-12-01,5,category_region_customers,Category Region Customers,0,Low Risk,0.5016980335140776,0.019878435930937854,-0.0018182025989397683,1.9878435930937854,increases predicted class probability
scoring,15,1001,5,2025-12-01,1,revenue_volatility_3m,Revenue Volatility 3M,1,Medium Risk,0.5101856644956412,0.10751028020756857,-0.1726245895200315,10.751028020756857,increases predicted class probability
scoring,15,1001,5,2025-12-01,2,volatility_3m,Volatility 3M,1,Medium Risk,0.5101856644956412,0.054913761063126315,-0.08901604149550406,5.491376106312631,increases predicted class probability
scoring,15,1001,5,2025-12-01,3,risk_factor_volatility,Risk Factor Volatility,1,Medium Risk,0.5101856644956412,0.03566385726535126,-0.0543012944812571,3.566385726535126,increases predicted class probability
scoring,15,1001,5,2025-12-01,4,units_lag_1m,Units Lag 1M,1,Medium Risk,0.5101856644956412,-0.03199607691363384,0.04333006291564314,-3.199607691363384,decreases predicted class probability
scoring,15,1001,5,2025-12-01,5,rolling_revenue_std_3m,Rolling Revenue Std 3M,1,Medium Risk,0.5101856644956412,0.03106171892925692,-0.042333606649447277,3.106171892925692,increases predicted class probability
scoring,16,1001,6,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.5649662923682094,0.052674343048968966,-0.03781592274847453,5.267434304896897,increases predicted class probability
scoring,16,1001,6,2025-12-01,2,revenue_volatility_3m,Revenue Volatility 3M,0,Low Risk,0.5649662923682094,0.04011694696290391,-0.09258020280740074,4.011694696290391,increases predicted class probability
scoring,16,1001,6,2025-12-01,3,volatility_3m,Volatility 3M,0,Low Risk,0.5649662923682094,0.03726424678657871,-0.08665961894737981,3.7264246786578714,increases predicted class probability
scoring,16,1001,6,2025-12-01,4,revenue_percentile_category_region,Revenue Percentile Category Region,0,Low Risk,0.5649662923682094,0.03271105316211046,-0.020503154139155034,3.271105316211046,increases predicted class probability
scoring,16,1001,6,2025-12-01,5,rolling_units_mean_3m,Rolling Units Mean 3M,0,Low Risk,0.5649662923682094,0.030728276275808302,-0.05441292423310878,3.07282762758083,increases predicted class probability
scoring,17,1001,7,2025-12-01,1,units_lag_3m,Units Lag 3M,1,Medium Risk,0.5001845044878472,0.12090100311413765,-0.17374781227330055,12.090100311413766,increases predicted class probability
scoring,17,1001,7,2025-12-01,2,trend_slope_3m,Trend Slope 3M,1,Medium Risk,0.5001845044878472,0.11750254045523896,-0.1692250302682147,11.750254045523896,increases predicted class probability
scoring,17,1001,7,2025-12-01,3,units_lag_1m,Units Lag 1M,1,Medium Risk,0.5001845044878472,-0.033035251251986565,0.04239453088726512,-3.3035251251986564,decreases predicted class probability
scoring,17,1001,7,2025-12-01,4,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.5001845044878472,-0.03183448399530355,0.04324679287711539,-3.1834483995303553,decreases predicted class probability
scoring,17,1001,7,2025-12-01,5,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.5001845044878472,-0.029724428182597757,0.04184335285632913,-2.9724428182597755,decreases predicted class probability
scoring,18,1001,8,2025-12-01,1,trend_slope_3m,Trend Slope 3M,1,Medium Risk,0.5140217052923646,0.12045146695985316,-0.16920723296260992,12.045146695985316,increases predicted class probability
scoring,18,1001,8,2025-12-01,2,units_lag_3m,Units Lag 3M,1,Medium Risk,0.5140217052923646,0.11631048632581456,-0.16708920479119158,11.631048632581455,increases predicted class probability
scoring,18,1001,8,2025-12-01,3,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.5140217052923646,-0.03143483712169842,0.04526340398005304,-3.143483712169842,decreases predicted class probability
scoring,18,1001,8,2025-12-01,4,units_lag_1m,Units Lag 1M,1,Medium Risk,0.5140217052923646,-0.03055622918068508,0.041967296122439476,-3.055622918068508,decreases predicted class probability
scoring,18,1001,8,2025-12-01,5,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.5140217052923646,-0.027015602585078572,0.038735455684158315,-2.701560258507857,decreases predicted class probability
scoring,19,1001,9,2025-12-01,1,revenue_volatility_3m,Revenue Volatility 3M,0,Low Risk,0.8340829814807145,0.0762878036075043,-0.002155720314449995,7.628780360750429,increases predicted class probability
scoring,19,1001,9,2025-12-01,2,volatility_3m,Volatility 3M,0,Low Risk,0.8340829814807145,0.06768298805758771,-0.003122186418390529,6.768298805758771,increases predicted class probability
scoring,19,1001,9,2025-12-01,3,revenue,Revenue,0,Low Risk,0.8340829814807145,0.034523331170037315,-0.02334095026782737,3.4523331170037315,increases predicted class probability
scoring,19,1001,9,2025-12-01,4,order_count,Order Count,0,Low Risk,0.8340829814807145,0.03400212189963568,-0.02207715867541836,3.400212189963568,increases predicted class probability
scoring,19,1001,9,2025-12-01,5,revenue_at_risk_proxy,Revenue At Risk Proxy,0,Low Risk,0.8340829814807145,0.03398451197049326,-0.023195844511068976,3.398451197049326,increases predicted class probability
scoring,20,1002,1,2025-12-01,1,unit_share_lag_1m,Unit Share Lag 1M,0,Low Risk,0.5743736463414978,0.020944150782065993,-0.04374197592870438,2.0944150782065996,increases predicted class probability
scoring,20,1002,1,2025-12-01,2,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.5743736463414978,0.02065782966454749,0.006562849837543973,2.0657829664547487,increases predicted class probability
scoring,20,1002,1,2025-12-01,3,product_unit_share_category_region,Product Unit Share Category Region,0,Low Risk,0.5743736463414978,0.018604719761261414,0.007868106991030613,1.8604719761261415,increases predicted class probability
scoring,20,1002,1,2025-12-01,4,activity_pipeline_interest_index,Activity Pipeline Interest Index,0,Low Risk,0.5743736463414978,0.014352180109026712,-0.0026008013070678935,1.4352180109026713,increases predicted class probability
scoring,20,1002,1,2025-12-01,5,units_lag_1m,Units Lag 1M,0,Low Risk,0.5743736463414978,0.013687836307091548,-0.04534503002804433,1.3687836307091548,increases predicted class probability
scoring,21,1002,10,2025-12-01,1,unit_share_lag_1m,Unit Share Lag 1M,0,Low Risk,0.6222678158419013,0.0574250408679585,-0.06410170711265284,5.74250408679585,increases predicted class probability
scoring,21,1002,10,2025-12-01,2,product_unit_share_category_region,Product Unit Share Category Region,0,Low Risk,0.6222678158419013,0.04384936017153505,-0.013294650155843779,4.384936017153505,increases predicted class probability
scoring,21,1002,10,2025-12-01,3,product_revenue_share_category_region,Product Revenue Share Category Region,0,Low Risk,0.6222678158419013,0.03075960690389911,-0.004178740933280102,3.075960690389911,increases predicted class probability
scoring,21,1002,10,2025-12-01,4,units_vs_6m_avg_pct,Units Vs 6M Avg Pct,0,Low Risk,0.6222678158419013,0.028779524750951663,0.017729523968152975,2.8779524750951664,increases predicted class probability
scoring,21,1002,10,2025-12-01,5,units_lag_1m,Units Lag 1M,0,Low Risk,0.6222678158419013,0.025119279700676622,-0.03368246255913162,2.511927970067662,increases predicted class probability
scoring,22,1002,2,2025-12-01,1,units_lag_3m,Units Lag 3M,0,Low Risk,0.9378852691254208,0.04773148118929949,-0.0005490332091709212,4.773148118929949,increases predicted class probability
scoring,22,1002,2,2025-12-01,2,units_acceleration_3m,Units Acceleration 3M,0,Low Risk,0.9378852691254208,0.03474316823904369,0.0012566060717136573,3.474316823904369,increases predicted class probability
scoring,22,1002,2,2025-12-01,3,revenue,Revenue,0,Low Risk,0.9378852691254208,0.03334453683587803,-0.02347752370352383,3.3344536835878027,increases predicted class probability
scoring,22,1002,2,2025-12-01,4,revenue_at_risk_proxy,Revenue At Risk Proxy,0,Low Risk,0.9378852691254208,0.03164232171953663,-0.022800081817271164,3.1642321719536635,increases predicted class probability
scoring,22,1002,2,2025-12-01,5,order_count,Order Count,0,Low Risk,0.9378852691254208,0.030299658318799057,-0.019416917677619865,3.0299658318799056,increases predicted class probability
scoring,23,1002,3,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.5059623855658774,0.062197607427706546,0.0027347487684336656,6.219760742770655,increases predicted class probability
scoring,23,1002,3,2025-12-01,2,units_vs_6m_avg_pct,Units Vs 6M Avg Pct,0,Low Risk,0.5059623855658774,-0.027418837601831482,-0.004509629673556084,-2.741883760183148,decreases predicted class probability
scoring,23,1002,3,2025-12-01,3,category_region_customers,Category Region Customers,0,Low Risk,0.5059623855658774,0.01806873545708338,-0.0027299654755758404,1.806873545708338,increases predicted class probability
scoring,23,1002,3,2025-12-01,4,unit_share_lag_1m,Unit Share Lag 1M,0,Low Risk,0.5059623855658774,0.017226110322363593,-0.03975765305191703,1.7226110322363593,increases predicted class probability
scoring,23,1002,3,2025-12-01,5,revenue,Revenue,0,Low Risk,0.5059623855658774,-0.0157642564476602,0.006476892040199944,-1.57642564476602,decreases predicted class probability
scoring,24,1002,4,2025-12-01,1,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.5353032366466346,0.0327034528910213,-0.045534903328884484,3.27034528910213,increases predicted class probability
scoring,24,1002,4,2025-12-01,2,units_lag_1m,Units Lag 1M,1,Medium Risk,0.5353032366466346,0.030519774106232394,-0.04072346709775113,3.0519774106232394,increases predicted class probability
scoring,24,1002,4,2025-12-01,3,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.5353032366466346,0.023575792385875035,-0.03802467327565454,2.3575792385875034,increases predicted class probability
scoring,24,1002,4,2025-12-01,4,trend_slope_3m,Trend Slope 3M,1,Medium Risk,0.5353032366466346,0.023552796034869296,-0.0352063732993023,2.3552796034869297,increases predicted class probability
scoring,24,1002,4,2025-12-01,5,revenue_lag_1m,Revenue Lag 1M,1,Medium Risk,0.5353032366466346,0.022969597311907057,-0.029089206379761604,2.2969597311907055,increases predicted class probability
scoring,25,1002,5,2025-12-01,1,customer_share_category_region,Customer Share Category Region,1,Medium Risk,0.500002304345063,-0.04446841122298338,0.010690591156288707,-4.446841122298338,decreases predicted class probability
scoring,25,1002,5,2025-12-01,2,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.500002304345063,0.03226216163072088,-0.045365137569119765,3.2262161630720882,increases predicted class probability
scoring,25,1002,5,2025-12-01,3,units_lag_1m,Units Lag 1M,1,Medium Risk,0.500002304345063,0.03195542086170855,-0.043564857669063366,3.195542086170855,increases predicted class probability
scoring,25,1002,5,2025-12-01,4,revenue_lag_1m,Revenue Lag 1M,1,Medium Risk,0.500002304345063,0.025829197946686012,-0.0328170820841942,2.582919794668601,increases predicted class probability
scoring,25,1002,5,2025-12-01,5,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.500002304345063,0.02548798933286909,-0.04334622402023129,2.5487989332869088,increases predicted class probability
scoring,26,1002,6,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.6521656769530648,0.039732955536705715,-0.0013079455084781036,3.9732955536705714,increases predicted class probability
scoring,26,1002,6,2025-12-01,2,revenue_percentile_category_region,Revenue Percentile Category Region,0,Low Risk,0.6521656769530648,0.03188270672789844,-0.005370431933788826,3.188270672789844,increases predicted class probability
scoring,26,1002,6,2025-12-01,3,unit_rank_category_region,Unit Rank Category Region,0,Low Risk,0.6521656769530648,0.02699916609983345,0.00204008993160178,2.6999166099833447,increases predicted class probability
scoring,26,1002,6,2025-12-01,4,unit_share_lag_1m,Unit Share Lag 1M,0,Low Risk,0.6521656769530648,0.017119601562567713,-0.0435943887110147,1.7119601562567712,increases predicted class probability
scoring,26,1002,6,2025-12-01,5,crm_activity_minutes,Crm Activity Minutes,0,Low Risk,0.6521656769530648,0.015145423340595026,-0.0011060348550380622,1.5145423340595026,increases predicted class probability
scoring,27,1002,7,2025-12-01,1,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.7240690543288146,0.03922967131239578,-0.05126127602673922,3.9229671312395777,increases predicted class probability
scoring,27,1002,7,2025-12-01,2,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.7240690543288146,0.03677262663502748,-0.0512314023771091,3.6772626635027477,increases predicted class probability
scoring,27,1002,7,2025-12-01,3,units_lag_1m,Units Lag 1M,1,Medium Risk,0.7240690543288146,0.03217390483456332,-0.04615986174168541,3.217390483456332,increases predicted class probability
scoring,27,1002,7,2025-12-01,4,mom_units_growth_pct,Mom Units Growth Pct,1,Medium Risk,0.7240690543288146,0.029690355630053632,-0.03322572086126692,2.969035563005363,increases predicted class probability
scoring,27,1002,7,2025-12-01,5,revenue_lag_1m,Revenue Lag 1M,1,Medium Risk,0.7240690543288146,0.02633418704756758,-0.03678537999725245,2.633418704756758,increases predicted class probability
scoring,28,1002,8,2025-12-01,1,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.7456834499365711,0.03322979579198339,-0.047531527945108246,3.3229795791983388,increases predicted class probability
scoring,28,1002,8,2025-12-01,2,units_lag_1m,Units Lag 1M,1,Medium Risk,0.7456834499365711,0.028734686744848144,-0.04377421561335945,2.8734686744848146,increases predicted class probability
scoring,28,1002,8,2025-12-01,3,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.7456834499365711,0.026435194673024985,-0.04806173677749211,2.6435194673024984,increases predicted class probability
scoring,28,1002,8,2025-12-01,4,customer_count_growth_pct,Customer Count Growth Pct,1,Medium Risk,0.7456834499365711,0.025147446384677075,-0.01765096291684025,2.5147446384677075,increases predicted class probability
scoring,28,1002,8,2025-12-01,5,customer_share_category_region,Customer Share Category Region,1,Medium Risk,0.7456834499365711,0.022556979836117184,0.0028362468755650785,2.2556979836117184,increases predicted class probability
scoring,29,1002,9,2025-12-01,1,customer_share_category_region,Customer Share Category Region,1,Medium Risk,0.6482370149466568,-0.042518627426207205,0.005633029677243757,-4.2518627426207205,decreases predicted class probability
