opportunity_id,created_date,customer_id,product_group,sales_rep_id,stage,expected_value_eur,win_probability,expected_close_date,created_date_id,weighted_pipeline_eur,days_to_close,is_closed_won,is_closed_lost
12666,2024-11-04,693,Industrial Scanner,84,Qualified,27287.27,0.143,2025-03-16,20241104,3902.08,132,0,0
5305,2023-01-09,232,Legacy Workstation,46,Qualified,68496.77,0.278,2023-07-30,20230109,19042.1,202,0,0
2313,2023-03-12,546,Accessory Kit,6,Lead,34489.63,0.149,2023-06-28,20230312,5138.95,108,0,0
7041,2025-02-08,357,Service Contract,32,Proposal,77086.83,0.47,2025-08-29,20250208,36230.81,202,0,0
1890,2023-09-01,878,Accessory Kit,66,Negotiation,8506.33,0.589,2024-01-09,20230901,5010.23,130,0,0
8992,2022-11-07,400,Tablet Enterprise,16,Proposal,10870.37,0.431,2022-11-29,20221107,4685.13,22,0,0
170,2022-12-24,1154,Monitoring Device,72,Proposal,124645.8,0.48,2023-04-22,20221224,59829.98,119,0,0
1796,2023-08-05,423,Industrial Scanner,53,Negotiation,52859.33,0.827,2023-09-19,20230805,43714.67,45,0,0
3976,2023-08-16,482,Legacy Workstation,71,Negotiation,27289.08,0.791,2024-03-04,20230816,21585.66,201,0,0
6821,2024-09-08,684,Monitoring Device,53,Proposal,41706.07,0.472,2024-10-16,20240908,19685.27,38,0,0
7827,2022-09-26,214,Connectivity Module,81,Proposal,12754.46,0.469,2023-03-11,20220926,5981.84,166,0,0
11810,2025-02-09,78,Tablet Enterprise,20,Qualified,15742.15,0.234,2025-04-11,20250209,3683.66,61,0,0
1040,2025-05-16,336,Accessory Kit,52,Closed Lost,35697.91,0.13,2025-12-08,20250516,4640.73,206,0,1
2849,2023-05-28,1038,Connectivity Module,34,Qualified,45349.29,0.311,2023-07-18,20230528,14103.63,51,0,0
3372,2024-03-04,410,Industrial Scanner,75,Qualified,26105.83,0.373,2024-06-11,20240304,9737.47,99,0,0
8830,2024-04-13,473,Legacy Workstation,80,Negotiation,26359.33,0.617,2024-05-25,20240413,16263.71,42,0,0
10350,2024-11-09,1144,Laptop Pro,49,Closed Won,3291.87,0.998,2025-02-19,20241109,3285.29,102,1,0
8798,2025-03-28,1076,Laptop Standard,32,Lead,18183.03,0.0,2025-09-28,20250328,0.0,184,0,0
765,2021-09-19,265,Connectivity Module,36,Proposal,4076.02,0.411,2022-01-09,20210919,1675.24,112,0,0
1594,2023-02-13,1150,Laptop Pro,53,Proposal,11454.41,0.397,2023-03-30,20230213,4547.4,45,0,0
14233,2021-10-23,269,Medical Sensor,14,Closed Lost,194870.73,0.0,2022-05-03,20211023,0.0,192,0,1
5873,2024-11-16,928,Laptop Standard,14,Closed Lost,17640.01,0.0,2025-03-24,20241116,0.0,128,0,1
9941,2023-07-21,224,Laptop Standard,11,Negotiation,6552.7,0.601,2023-11-17,20230721,3938.17,119,0,0
5170,2022-01-15,639,Medical Sensor,2,Proposal,40587.33,0.566,2022-03-12,20220115,22972.43,56,0,0
10910,2025-01-20,102,Service Contract,64,Lead,5326.39,0.039,2025-05-20,20250120,207.73,120,0,0
4123,2025-12-23,702,Laptop Pro,32,Closed Won,65430.22,1.0,2026-06-06,20251223,65430.22,165,1,0
12949,2022-07-28,1183,Monitoring Device,28,Negotiation,52378.35,0.613,2022-12-12,20220728,32107.93,137,0,0
14483,2025-04-12,612,Laptop Pro,2,Closed Won,60901.07,1.0,2025-11-09,20250412,60901.07,211,1,0
150,2025-05-17,966,Accessory Kit,11,Qualified,49187.18,0.115,2025-11-16,20250517,5656.53,183,0,0
11737,2022-02-06,623,Industrial Scanner,42,Qualified,21009.76,0.408,2022-06-15,20220206,8571.98,129,0,0
388,2023-09-10,519,Connectivity Module,62,Negotiation,15652.74,0.76,2024-01-23,20230910,11896.08,135,0,0
3947,2025-01-29,800,Monitoring Device,7,Negotiation,20392.51,0.798,2025-06-07,20250129,16273.22,129,0,0
13403,2023-02-24,683,Legacy Workstation,13,Closed Lost,53429.57,0.012,2023-03-28,20230224,641.15,32,0,1
1374,2025-01-31,965,Industrial Scanner,28,Qualified,32991.31,0.197,2025-09-05,20250131,6499.29,217,0,0
2885,2025-03-22,704,Legacy Workstation,27,Proposal,16231.9,0.366,2025-08-17,20250322,5940.88,148,0,0
14043,2022-02-18,584,Laptop Pro,57,Lead,33763.9,0.023,2022-06-15,20220218,776.57,117,0,0
11361,2024-03-13,1081,Connectivity Module,73,Negotiation,6232.44,0.699,2024-04-04,20240313,4356.48,22,0,0
2992,2023-05-18,739,Service Contract,34,Lead,242783.64,0.269,2023-08-11,20230518,65308.8,85,0,0
11596,2021-07-23,256,Tablet Enterprise,68,Qualified,21541.22,0.159,2021-09-16,20210723,3425.05,55,0,0
10582,2022-09-23,788,Laptop Pro,17,Qualified,57682.06,0.271,2022-10-13,20220923,15631.84,20,0,0
14868,2024-02-22,415,Medical Sensor,7,Proposal,17276.53,0.385,2024-05-30,20240222,6651.46,98,0,0
14425,2025-11-09,72,Laptop Pro,37,Lead,20161.25,0.1,2026-03-24,20251109,2016.12,135,0,0
3025,2023-03-26,395,Accessory Kit,64,Negotiation,15431.66,0.492,2023-04-17,20230326,7592.38,22,0,0
252,2023-06-29,110,Service Contract,49,Lead,30915.96,0.124,2023-08-11,20230629,3833.58,43,0,0
12147,2022-12-31,632,Connectivity Module,82,Qualified,97776.59,0.244,2023-02-12,20221231,23857.49,43,0,0
11439,2021-01-25,539,Service Contract,80,Proposal,23918.0,0.489,2021-05-20,20210125,11695.9,115,0,0
7093,2022-01-26,443,Laptop Standard,79,Closed Lost,42299.16,0.0,2022-03-02,20220126,0.0,35,0,1
933,2022-02-05,799,Legacy Workstation,63,Qualified,26915.87,0.172,2022-04-07,20220205,4629.53,61,0,0
7218,2025-12-28,731,Tablet Enterprise,65,Qualified,25425.75,0.218,2026-07-23,20251228,5542.81,207,0,0
3685,2024-05-14,808,Accessory Kit,12,Closed Lost,31642.22,0.0,2024-11-21,20240514,0.0,191,0,1
8369,2021-12-07,950,Industrial Scanner,7,Qualified,126735.29,0.243,2022-02-18,20211207,30796.68,73,0,0
9479,2024-03-30,929,Industrial Scanner,3,Closed Won,17383.54,1.0,2024-09-11,20240330,17383.54,165,1,0
11725,2025-06-06,572,Laptop Standard,14,Negotiation,10352.88,0.699,2025-08-28,20250606,7236.66,83,0,0
7418,2021-08-10,152,Laptop Pro,24,Qualified,16838.58,0.345,2021-08-30,20210810,5809.31,20,0,0
10505,2025-07-27,1126,Laptop Standard,76,Negotiation,57258.46,0.735,2026-01-25,20250727,42084.97,182,0,0
10516,2024-07-14,318,Medical Sensor,54,Negotiation,153737.35,0.584,2024-12-04,20240714,89782.61,143,0,0
13510,2025-09-30,1029,Legacy Workstation,32,Lead,128564.1,0.0,2026-04-15,20250930,0.0,197,0,0
7173,2024-11-23,118,Laptop Pro,3,Negotiation,7896.84,0.59,2025-06-09,20241123,4659.14,198,0,0
3329,2024-11-17,846,Industrial Scanner,26,Qualified,14424.92,0.228,2025-01-30,20241117,3288.88,74,0,0
5024,2025-03-17,179,Medical Sensor,22,Lead,1763.15,0.165,2025-05-09,20250317,290.92,53,0,0
2215,2022-03-16,1133,Laptop Standard,16,Qualified,43596.44,0.369,2022-07-21,20220316,16087.09,127,0,0
2217,2025-03-03,943,Laptop Standard,75,Lead,10001.15,0.139,2025-08-26,20250303,1390.16,176,0,0
14796,2022-04-14,143,Laptop Standard,12,Closed Lost,54019.8,0.0,2022-07-02,20220414,0.0,79,0,1
2860,2025-02-12,271,Industrial Scanner,30,Lead,16690.65,0.0,2025-06-14,20250212,0.0,122,0,0
4025,2024-03-08,817,Legacy Workstation,61,Closed Won,25954.54,0.999,2024-04-28,20240308,25928.59,51,1,0
2761,2022-11-21,415,Laptop Pro,29,Proposal,13446.62,0.428,2023-06-21,20221121,5755.15,212,0,0
3291,2022-08-02,684,Industrial Scanner,27,Proposal,12557.74,0.414,2022-09-14,20220802,5198.9,43,0,0
10044,2023-01-04,925,Laptop Standard,36,Proposal,163356.68,0.623,2023-06-22,20230104,101771.21,169,0,0
2627,2022-11-27,416,Connectivity Module,57,Closed Won,27821.09,0.854,2023-03-28,20221127,23759.21,121,1,0
4610,2025-10-03,220,Medical Sensor,80,Lead,37781.02,0.146,2025-11-01,20251003,5516.03,29,0,0
13284,2023-12-18,336,Laptop Standard,67,Closed Won,60200.37,0.859,2024-03-06,20231218,51712.12,79,1,0
12473,2025-08-25,518,Connectivity Module,22,Negotiation,1771.98,0.741,2025-10-04,20250825,1313.04,40,0,0
11740,2024-05-11,338,Monitoring Device,44,Qualified,9648.68,0.094,2024-10-11,20240511,906.98,153,0,0
6662,2021-06-08,855,Medical Sensor,29,Lead,33618.22,0.0,2021-09-22,20210608,0.0,106,0,0
13940,2024-04-01,1037,Tablet Enterprise,68,Qualified,24564.45,0.354,2024-07-08,20240401,8695.82,98,0,0
7360,2024-08-11,465,Legacy Workstation,70,Negotiation,73846.19,0.611,2025-01-18,20240811,45120.02,160,0,0
3205,2021-04-10,39,Tablet Enterprise,5,Proposal,34347.84,0.43,2021-05-29,20210410,14769.57,49,0,0
11753,2022-09-30,684,Service Contract,34,Proposal,16338.25,0.364,2022-11-04,20220930,5947.12,35,0,0
6127,2023-11-18,794,Medical Sensor,68,Closed Lost,19117.16,0.049,2024-06-14,20231118,936.74,209,0,1
14630,2024-03-18,772,Laptop Standard,10,Closed Won,7320.5,1.0,2024-06-17,20240318,7320.5,91,1,0
2679,2025-07-15,932,Industrial Scanner,53,Proposal,67988.56,0.536,2026-01-20,20250715,36441.87,189,0,0
3709,2022-10-10,392,Accessory Kit,73,Lead,11008.58,0.103,2023-02-18,20221010,1133.88,131,0,0
